name,college,team_name,gdp,city.id,id,player.id,team.id
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,$729 billion,,,,
anthony edwards,University of Georgia,Minnesota Timberwolves,,,,,
anthony marshon davis,Kentucky Wildcats,Los Angeles Lakers,1000000.0,,,,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,$729 billion,,,,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,$121 billion,,,,
d'angelo russell,Ohio State Buckeyes,Los Angeles Lakers,1000000.0,,,,
darnell hillman,San Jose State University,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)",,,,
derrick chievous,University of Missouri,Houston Rockets,,,,,
devin armani booker,University of Kentucky,Phoenix Suns,$362 billion,,,,
draymond jamal green,Michigan State Spartans,Golden State Warriors,$729 billion,,,,
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,$344.9 billion,,,,
garfield smith,,Boston Celtics,,,,,
giannis sina ugo antetokounmpo,Filathlitikos,Milwaukee Bucks,10200000000.0,,,,
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,$121 billion,,,,
jaime jaquez,UCLA Bruins,Miami Heat,$344.9 billion,,,,
jalen marquis brunson,Villanova University,Dallas Mavericks,,,,,
jay vincent jay fletcher vincent,Michigan State Spartans,Dallas Mavericks,,,,,
jaylen marselles brown,California Golden Bears,Boston Celtics,,,,,
jayson christopher tatum,Duke University,Boston Celtics,,,,,
jimmy butler,Tyler Junior College,Miami Heat,$344.9 billion,,,,
john harding lucas,"University of Maryland, College Park",Houston Rockets,,,,,
jonathan malangu kuminga,UNLV,Golden State Warriors,$729 billion,,,,
jrue randall holiday,UCLA Bruins,Boston Celtics,,,,,
kermit washington,American University,Los Angeles Lakers,1000000.0,,,,
kevin wayne durant,University of Texas,Phoenix Suns,$362 billion,,,,
kevin wesley love,UCLA Bruins,Miami Heat,$344.9 billion,,,,
kevon grant looney,UCLA Bruins,Golden State Warriors,$729 billion,,,,
kobe bean bryant,,Los Angeles Lakers,1000000.0,,,,
kyle forman anderson,UCLA Bruins,Golden State Warriors,$729 billion,,,,
lebron raymone james,St. Vincent–St. Mary High School,Los Angeles Lakers,1000000.0,,,,
lonzo anderson ball,UCLA Bruins,Chicago Bulls,$689 billion,,,,
rik smits,Marist College,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)",,,,
shaquille rashaun o'neal,LSU Tigers,Orlando Magic,$13.4 billion,,,,
trayce jackson-davis,Indiana,Golden State Warriors,$729 billion,,,,
tyler christopher herro,University of Kentucky,Miami Heat,$344.9 billion,,,,
vernon maxwell,University of Florida,Houston Rockets,,,,,
victor wembanyama,Metropolitans 92,San Antonio Spurs,$121 billion,,,,
wardell stephen curry,Davidson College,Golden State Warriors,$729 billion,,,,
zach collins,Gonzaga Bulldogs,San Antonio Spurs,$121 billion,,,,
zachary thomas lavine,UCLA Bruins,Chicago Bulls,$689 billion,,,,
