name,college,team_name,gdp
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,252200
anthony edwards,Georgia,Minnesota Timberwolves,
anthony marshon davis,Kentucky,Los Angeles Lakers,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,252200
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,
d'angelo russell,Ohio State,Los Angeles Lakers,
darnell hillman,San Jose State University,Golden State Warriors,252200
derrick chievous,University of Missouri,Cleveland Cavaliers,
devin armani booker,Kentucky Wildcats,Phoenix Suns,362000
draymond jamal green,Michigan State University,Golden State Warriors,252200
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344.9
garfield smith,,Boston Celtics,
giannis sina ugo antetokounmpo,,Milwaukee Bucks,"102,000,000,000"
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,
jaime jaquez,UCLA,Miami Heat,344.9
jalen marquis brunson,Villanova University,New York Knicks,
jay vincent jay fletcher vincent,Michigan State Spartans,Los Angeles Lakers,
jaylen marselles brown,"University of California, Berkeley",Boston Celtics,
jayson christopher tatum,Duke University,Boston Celtics,
jimmy butler,Marquette University,Miami Heat,344.9
john harding lucas,University of Maryland,Houston Rockets,
jonathan malangu kuminga,,Golden State Warriors,252200
jrue randall holiday,UCLA,Boston Celtics,
kermit washington,American University,Golden State Warriors,252200
kevin wayne durant,University of Texas at Austin,Phoenix Suns,362000
kevin wesley love,UCLA,Miami Heat,344.9
kevon grant looney,UCLA,Golden State Warriors,252200
kobe bean bryant,,Los Angeles Lakers,
kyle forman anderson,UCLA,Golden State Warriors,252200
lebron raymone james,,Los Angeles Lakers,
lonzo anderson ball,UCLA,Chicago Bulls,689000
rik smits,Marist College,Indiana Pacers,
shaquille rashaun o'neal,Louisiana State University (LSU),Boston Celtics,
trayce jackson-davis,Indiana Hoosiers,Golden State Warriors,252200
tyler christopher herro,University of Kentucky,Miami Heat,344.9
vernon maxwell,University of Florida,Dallas Mavericks,
victor wembanyama,,San Antonio Spurs,
wardell stephen curry,Davidson,Golden State Warriors,252200
zach collins,Gonzaga Bulldogs,San Antonio Spurs,
zachary thomas lavine,UCLA,Chicago Bulls,689000
