db_name,joined_rows,ground_truth_key_value,schema,domain
Player_0,[],"{'name': 'Antonius Cleveland  ', 'birth_date': '1994/2/2', 'nationality': 'American  ', 'age': 31, 'team': 'Lokomotiv Kuban  ', 'position': nan, 'draft_pick': 0.0, 'draft_year': 0.0, 'college': 'Southeast Missouri State University  ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 1}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_1,[],"{'name': 'Jay Vincent Jay Fletcher Vincent  ', 'birth_date': '1959/6/10', 'nationality': 'American  ', 'age': 66, 'team': 'Los Angeles Lakers', 'position': 'Frontcourt', 'draft_pick': 24.0, 'draft_year': 1981.0, 'college': 'Michigan State Spartans  ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 2}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_2,[],"{'name': 'Nikola Radi?evi?  ', 'birth_date': '1994/4/25', 'nationality': 'Serbian  ', 'age': 31, 'team': 'Cedevita Olimpija  ', 'position': 'Backcourt', 'draft_pick': 57.0, 'draft_year': 2015.0, 'college': ' ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 3}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_3,[],"{'name': 'Fran Curran Francis Hugh Curran Sr.', 'birth_date': '1922/9/9', 'nationality': 'American', 'age': 103, 'team': 'Rochester Royals', 'position': nan, 'draft_pick': 0.0, 'draft_year': 0.0, 'college': 'University of Notre Dame', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 4}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_4,[],"{'name': 'Mark Price  ', 'birth_date': '1964/2/15', 'nationality': 'American  ', 'age': 61, 'team': 'Orlando Magic', 'position': 'Backcourt', 'draft_pick': 25.0, 'draft_year': 1986.0, 'college': 'Georgia Tech  ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 1.0, 'ID': 5}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_5,[],"{'name': 'David Michineau  ', 'birth_date': '1994/6/6', 'nationality': 'French  ', 'age': 31, 'team': 'Bursaspor Basketbol  ', 'position': 'Backcourt', 'draft_pick': 0.0, 'draft_year': 2016.0, 'college': ' ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 6}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_6,[],"{'name': 'Donta Hall  ', 'birth_date': '1997/8/7', 'nationality': 'American-born naturalized Azerbaijani  ', 'age': 28, 'team': 'Saski Baskonia', 'position': nan, 'draft_pick': 0.0, 'draft_year': 0.0, 'college': 'Alabama  ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 7}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_7,[],"{'name': 'Erick Strickland  ', 'birth_date': '1973/11/25', 'nationality': 'American  ', 'age': 51, 'team': 'Milwaukee Bucks', 'position': nan, 'draft_pick': 0.0, 'draft_year': 0.0, 'college': 'University of Nebraska', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 8}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_8,[],"{'name': 'David Lattin  ', 'birth_date': '1943/12/23', 'nationality': 'American  ', 'age': 81, 'team': ' New Orleans Jazz', 'position': 'Frontcourt', 'draft_pick': 10.0, 'draft_year': 1967.0, 'college': 'Texas Western College  ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 9}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
Player_9,[],"{'name': 'Toby Kimball  ', 'birth_date': '1942/9/7', 'nationality': 'American  ', 'age': 83, 'team': ' New Orleans Jazz', 'position': 'Frontcourt', 'draft_pick': 0.0, 'draft_year': 0.0, 'college': 'University of Connecticut  ', 'nba_championships': 0.0, 'mvp_awards': 0, 'olympic_gold_medals': 0.0, 'fiba_world_cup': 0.0, 'ID': 10}","[{'table_name': 'player', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}, {'name': 'draft_year', 'type': 'REAL'}, {'name': 'college', 'type': 'TEXT'}, {'name': 'position', 'type': 'TEXT'}]}, {'table_name': 'team', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'name', 'type': 'TEXT'}]}, {'table_name': 'achievement', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'nba_championships', 'type': 'BOOLEAN'}, {'name': 'mvp_awards', 'type': 'BOOLEAN'}, {'name': 'olympic_gold_medals', 'type': 'BOOLEAN'}]}, {'table_name': 'draft', 'columns': [{'name': 'id', 'type': 'INTEGER', 'primary_key': True}, {'name': 'player_id', 'type': 'INTEGER', 'foreign_key': True, 'foreign_key_table': 'player', 'foreign_key_column': 'id'}, {'name': 'year', 'type': 'INTEGER'}]}]",Player
