name,position,city_name,population,city.id,id,player.id,team.id
andrew christian wiggins,Frontcourt,San Francisco,808988.0,,,,
anthony edwards,Shooting Guard,Minneapolis,429954.0,,,,
"chavano rainer ""buddy"" hield",,San Francisco,808988.0,,,,
devin armani booker,Backcourt,Phoenix,1662607.0,,,,
duncan mcbryde robinson,Backcourt,Miami,442241.0,,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami,442241.0,,,,
giannis sina ugo antetokounmpo,forward,Milwaukee,577222.0,,,,
harrison bryce jordan barnes,Frontcourt,San Antonio,2608722.0,,,,
jaime jaquez,Forward,Miami,442241.0,,,,
jaylen marselles brown,Shooting guard and small forward,Boston,691531.0,,,,
jayson christopher tatum,Frontcourt,Boston,691531.0,,,,
jonathan malangu kuminga,Frontcourt,San Francisco,808988.0,,,,
kevon grant looney,Frontcourt,San Francisco,808988.0,,,,
kyle forman anderson,Backcourt,San Francisco,808988.0,,,,
kyrie andrew irving,Point Guard,Dallas,1304379.0,,,,
lonzo anderson ball,Point guard,Chicago,2746388.0,,,,
trayce jackson-davis,Forward,San Francisco,808988.0,,,,
tyler christopher herro,Backcourt,Miami,442241.0,,,,
victor wembanyama,Frontcourt,San Antonio,2608722.0,,,,
zachary thomas lavine,Backcourt,Chicago,2746388.0,,,,
