name,draft_pick,college,team_name
Harrison Barnes,7.0,North Carolina,San Antonio Spurs
Anthony Davis,1.0,Kentucky,Los Angeles Lakers
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
jrue_holiday,17.0,UCLA Bruins,Boston Celtics
Giannis Antetokounmpo,15.0,,Milwaukee Bucks
Donyell Marshall,4.0,University of Connecticut,Minnesota Timberwolves
Harry Gallatin,20.0,Truman State University,New York Knicks
Jaden Ivey,5.0,Purdue,Detroit Pistons
Cade Cunningham,1.0,Oklahoma State,Detroit Pistons
Aaron Williams,0.0,Xavier University,Utah Jazz
Erick Strickland,0.0,University of Nebraska,Dallas Mavericks
Zach LaVine,13.0,UCLA,Chicago Bulls
Tom Copa,0.0,Marquette,San Antonio Spurs
Tyler Herro,13.0,Kentucky,Miami Heat
Shaquille O'Neal,1.0,LSU,Orlando Magic
Tim Duncan,1.0,Wake Forest Demon Deacons,San Antonio Spurs
Victor Wembanyama,1.0,,San Antonio Spurs
Jamal Crawford,8.0,University of Michigan,Chicago Bulls
Jay Vincent,24.0,Michigan State,Dallas Mavericks
Ausar Thompson,5.0,None,Detroit Pistons
Steve Smith,5.0,Michigan State,Atlanta Hawks
Isiah Lord Thomas III,2.0,Indiana,Detroit Pistons
Don Anielak,26.0,Southwest Missouri State,New York Knicks
Duncan McBryde Robinson,0.0,Williams College,Miami Heat
Dennis Schröder,17.0,,Brooklyn Nets
Jaylen Brown,3.0,California,Boston Celtics
Jalen Brunson,33.0,Villanova University,New York Knicks
Chris Paul,4.0,Wake Forest University,San Antonio Spurs
Dwayne Schintzius,24.0,University of Florida,San Antonio Spurs
Derrick Chievous,16.0,University of Missouri,Houston Rockets
John Lucas II,1.0,University of Maryland,Houston Rockets
Kevin Love,5.0,UCLA,Miami Heat
Dan Anderson,2.0,,Trail Blazers
Kobe Bryant,13.0,,Los Angeles Lakers
OG Anunoby,23.0,Indiana,New York Knicks
Dick Surhoff,0.0,Long Island and John Marshall College,New York Knicks
Joseph Forte,21.0,University of North Carolina,Boston Celtics
Carrick Felix,33.0,Arizona State,Cleveland Cavaliers
LeBron James,1.0,N/A,Los Angeles Lakers
Kyrie Irving,1.0,Duke,Cleveland Cavaliers
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
bam adebayo,14.0,Kentucky,Miami Heat
Jayson Tatum,3.0,Duke,Boston Celtics
Boyd,5.0,Oregon State University,76ers
Jaime Jaquez Jr.,18.0,UCLA,Miami Heat
Vernon Maxwell,2.0,University of Florida,Houston Rockets
Michael Jeffrey Jordan,3.0,North Carolina Tar Heels,Chicago Bulls
Al Horford,3.0,Florida Gators,Atlanta Hawks
"Earvin ""Magic"" Johnson Jr.",1.0,Michigan State,Los Angeles Lakers
Kyle Anderson,30.0,UCLA,Minnesota Timberwolves
Jimmy Butler,30.0,"Tyler Junior College, Marquette University",Miami Heat
