city_name,state_name,team_name,name,college
,Massachusetts,,Nikola Radićević,
,,,Aaron Williams,Xavier University
,,Boston Celtics,Jrue Holiday,UCLA
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Anthony Avent,Seton Hall University
,,,Anthony Avent,Seton Hall University
,,,Nikola Radićević,
,,,Anthony Avent,Seton Hall University
,,,Gerald Madkins Jr.,UCLA
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Aaron Williams,Xavier University
,Massachusetts,,Aaron Williams,Xavier University
,,,Gerald Madkins Jr.,UCLA
,,,Nikola Radićević,
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Aaron Williams,Xavier University
,,,Aaron Williams,Xavier University
,,,Gerald Madkins Jr.,UCLA
,,Chicago Bulls,John Doe,University of Illinois
,,,Aaron Williams,Xavier University
,,,Aaron Williams,Xavier University
,Massachusetts,,Nikola Radićević,
,,,Nikola Radićević,
,,,Nikola Radićević,
,,,Aaron Williams,Xavier University
,,,Nikola Radićević,
,,,Aaron Williams,Xavier University
,,,Anthony Avent,Seton Hall University
,,Chicago Bulls,Jamal Crawford,University of Michigan
,Massachusetts,,Nikola Radićević,
,,Boston Celtics,Jaylen Marselles Brown,California Golden Bears
,,Chicago Bulls,Zachary Thomas LaVine,UCLA Bruins
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Nikola Radićević,
,,,Anthony Avent,Seton Hall University
,Massachusetts,,Aaron Williams,Xavier University
,,,Gerald Madkins Jr.,UCLA
,,Chicago Bulls,Jamal Crawford,University of Michigan
,,,Nikola Radićević,
,,Boston Celtics,Jrue Holiday,UCLA
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Anthony Avent,Seton Hall University
,,,Anthony Avent,Seton Hall University
,Massachusetts,,Nikola Radićević,
,,Chicago Bulls,John Doe,University of Illinois
,,,Gerald Madkins Jr.,UCLA
,,Boston Celtics,Jayson Tatum,Duke
,,Chicago Bulls,Zachary Thomas LaVine,UCLA Bruins
,,,Anthony Avent,Seton Hall University
,,,Gerald Madkins Jr.,UCLA
,,,Nikola Radićević,
,,Chicago Bulls,Lonzo Ball,UCLA
,Massachusetts,,Anthony Avent,Seton Hall University
,,,Anthony Avent,Seton Hall University
,,,Aaron Williams,Xavier University
,,,Anthony Avent,Seton Hall University
,,,Nikola Radićević,
,,,Aaron Williams,Xavier University
,Massachusetts,Chicago Bulls,Lonzo Ball,UCLA
,,Boston Celtics,Jaylen Marselles Brown,California Golden Bears
,,,Nikola Radićević,
,,,Aaron Williams,Xavier University
,,,Anthony Avent,Seton Hall University
,,,Anthony Avent,Seton Hall University
,,,Aaron Williams,Xavier University
,,Chicago Bulls,Lonzo Ball,UCLA
,,,Aaron Williams,Xavier University
,,,Gerald Madkins Jr.,UCLA
,,,Nikola Radićević,
,,Boston Celtics,Jayson Tatum,Duke
,,Oklahoma City Thunder,Paul George,Fresno State
,,,Anthony Avent,Seton Hall University
,,,Gerald Madkins Jr.,UCLA
,,,Aaron Williams,Xavier University
,,,Nikola Radićević,
,,,Anthony Avent,Seton Hall University
,Massachusetts,,Aaron Williams,Xavier University
,Massachusetts,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Anthony Avent,Seton Hall University
,,,Nikola Radićević,
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Anthony Avent,Seton Hall University
,Massachusetts,Chicago Bulls,Zachary Thomas LaVine,UCLA Bruins
,Massachusetts,,Nikola Radićević,
,Massachusetts,,Nikola Radićević,
,,,Anthony Avent,Seton Hall University
,Massachusetts,,Anthony Avent,Seton Hall University
,,,Anthony Avent,Seton Hall University
,,,Aaron Williams,Xavier University
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Aaron Williams,Xavier University
,,,Anthony Avent,Seton Hall University
,,,Nikola Radićević,
,Massachusetts,,Nikola Radićević,
,,,Anthony Avent,Seton Hall University
,Massachusetts,,Anthony Avent,Seton Hall University
New York,New York,Brooklyn Nets,Kyrie Irving,Duke
,Massachusetts,,Aaron Williams,Xavier University
,Massachusetts,Boston Celtics,Jrue Holiday,UCLA
New York,New York,Brooklyn Nets,Dennis Schröder,
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Aaron Williams,Xavier University
,Massachusetts,Chicago Bulls,Jamal Crawford,University of Michigan
,,,Aaron Williams,Xavier University
,Massachusetts,Boston Celtics,Jaylen Marselles Brown,California Golden Bears
,Massachusetts,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Anthony Avent,Seton Hall University
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Anthony Avent,Seton Hall University
,Massachusetts,,Aaron Williams,Xavier University
,,,Aaron Williams,Xavier University
,,,Anthony Avent,Seton Hall University
,,,Aaron Williams,Xavier University
,,,Aaron Williams,Xavier University
,Massachusetts,,Anthony Avent,Seton Hall University
,Massachusetts,,Nikola Radićević,
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Gerald Madkins Jr.,UCLA
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Nikola Radićević,
,,,Aaron Williams,Xavier University
,,,Gerald Madkins Jr.,UCLA
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Aaron Williams,Xavier University
,,,Nikola Radićević,
,Massachusetts,,Nikola Radićević,
,,,Anthony Avent,Seton Hall University
,Massachusetts,,Nikola Radićević,
,Massachusetts,Boston Celtics,Jayson Tatum,Duke
