name,position,city_name,population
,,,0.0
nan,Point Guard,,0.0
,,,0.0
D'Angelo Russell,point guard,Los Angeles,3820914.0
,,,0.0
,,,0.0
,,,0.0
Jayson Tatum,small forward,,0.0
,,,0.0
Kyle Anderson,point guard,,0.0
,,,0.0
,,,0.0
,,,0.0
nan,Point Guard,,0.0
Rick Hughes,,,0.0
Lamar Stevens,forward,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
Rick Hughes,,,0.0
Derrick Chievous,small forward,,0.0
Anthony Davis,power forward and center,Los Angeles,3820914.0
,,,0.0
,,,0.0
Kevin Love,forward,,0.0
Cade Cunningham,point guard,,0.0
OG Anunoby,forward/defender,New York City,8258035.0
,,,0.0
Tyler Herro,shooting guard,,0.0
Anthony Edwards,shooting guard,,0.0
Rick Hughes,,,0.0
Jaden Ivey,guard,,0.0
,,,0.0
,,,0.0
,,,0.0
John Doe,Guard,,0.0
,,,0.0
Duncan McBryde Robinson,point guard,,0.0
Duncan McBryde Robinson,point guard,,0.0
nan,Point Guard,,0.0
,,,0.0
,,,0.0
Kyle Anderson,point guard,,0.0
nan,Point Guard,,0.0
Toby Kimball,power forward/center,,0.0
Austin Reaves,guard,Los Angeles,3820914.0
nan,Point Guard,,0.0
,,,0.0
,,,0.0
,,,0.0
Bam Adebayo,power forward,,0.0
,,,0.0
Ausar Thompson,forward/guard,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
Rick Hughes,,,0.0
Jrue Holiday,point guard,,0.0
Jaylen Brown,shooting guard / small forward,,0.0
Derrick Chievous,small forward,,0.0
,,,0.0
nan,Point Guard,,0.0
,,,0.0
John Doe,Guard,,0.0
Lamar Stevens,forward,,0.0
Kevin Love,forward,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
Jalen Brunson,point guard,New York City,8258035.0
,,,0.0
,,,0.0
Jrue Holiday,point guard,,0.0
,,,0.0
Rick Hughes,,,0.0
,,,0.0
nan,Point Guard,,0.0
,,,0.0
Jayson Tatum,small forward,,0.0
nan,Point Guard,,0.0
Rick Hughes,,,0.0
Rick Hughes,,,0.0
Jabari Walker,PF,,0.0
,,,0.0
nan,Point Guard,,0.0
Tyler Herro,shooting guard,,0.0
,,,0.0
Rick Hughes,,,0.0
Askia Jones,shooting guard,,0.0
,,,0.0
Rick Hughes,,,0.0
,,,0.0
,,,0.0
,,,0.0
Askia Jones,shooting guard,,0.0
Toby Kimball,power forward/center,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
Isiah Thomas,PG,,0.0
Jaime Jaquez Jr.,basketball player,,0.0
Jabari Walker,PF,,0.0
nan,Point Guard,,0.0
Jaime Jaquez Jr.,basketball player,,0.0
,,,0.0
,,,0.0
Isiah Thomas,PG,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
,,,0.0
Ausar Thompson,forward/guard,,0.0
,,,0.0
,,,0.0
Jaylen Brown,shooting guard / small forward,,0.0
Anthony Edwards,shooting guard,,0.0
Cade Cunningham,point guard,,0.0
,,,0.0
,,,0.0
Jaden Ivey,guard,,0.0
,,,0.0
Bam Adebayo,power forward,,0.0
,,,0.0
,,,0.0
Rick Hughes,,,0.0
