name,team_name,city_name,state_name
Jonathan Kuminga,Golden State Warriors,San Francisco,California
Jarrett Jack,Denver Nuggets,Denver,Colorado
Jaden Ivey,Detroit Pistons,Detroit,Michigan
Andre Drummond,Detroit Pistons,Detroit,Michigan
Bam Adebayo,Miami Heat,Miami,Florida
Jimmy Butler,Miami Heat,Miami,Florida
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Stephen Curry,Golden State Warriors,San Francisco,California
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Andrew Wiggins,Golden State Warriors,San Francisco,California
Isiah Thomas,Detroit Pistons,Detroit,Michigan
Anthony Avent,Bucks,Milwaukee,Wisconsin
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
Kevon Looney,Golden State Warriors,San Francisco,California
Ausar Thompson,Detroit Pistons,Detroit,Michigan
Cade Cunningham,Detroit Pistons,Detroit,Michigan
"Kyle Anderson (Golden State Warriors, San Francisco)",Golden State Warriors,San Francisco,California
Brandan Keith Wright,Golden State Warriors,San Francisco,California
Steve Kerr,Golden State Warriors,San Francisco,California
Tyler Herro,Miami Heat,Miami,Florida
Draymond Green,Golden State Warriors,San Francisco,California
