city_name,state_name,team_name,name
,,Boston Celtics,Jaylen Marselles Brown
,,Boston Celtics,Jordan Lee Crawford
,,Boston Celtics,Jordan Lee Crawford
,,Boston Celtics,Jayson Christopher Tatum
,,Boston Celtics,Jaylen Marselles Brown
,,Boston Celtics,Jordan Lee Crawford
,,Boston Celtics,Jayson Christopher Tatum
,,Boston Celtics,Jrue Holiday
Chicago,Illinois,Bulls,Phil Jackson
,,Boston Celtics,Jrue Holiday
,,Boston Celtics,Jayson Christopher Tatum
,,Boston Celtics,Jrue Holiday
,,Boston Celtics,Jaylen Marselles Brown
,,Boston Celtics,Jaylen Marselles Brown
,,Boston Celtics,Jrue Holiday
,,Boston Celtics,Jordan Lee Crawford
,,Boston Celtics,Jayson Christopher Tatum
