name,nationality,age,team_name,location
Garry Witts,American,64.0,Bullets,"Washington, D.C."
Max Fiedler,American,23.0,Philadelphia 76ers,Philadelphia
Greg Foster,American,54.0,Indiana Pacers,Indianapolis
Drew Edward Gordon,American,34.0,Philadelphia 76ers,Philadelphia
Kyle Anderson,American-Chinese,31.0,Golden State Warriors,San Francisco
Anthony Davis,American,30.0,Los Angeles Lakers,Los Angeles
Rik Smits,Dutch,57.0,Indiana Pacers,Indianapolis
Brandan Keith Wright,American,36.0,Golden State Warriors,San Francisco
Kevin Wayne Durant,American,35.0,Phoenix Suns,"Phoenix, Arizona"
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Harrison Bryce Jordan Barnes,American,32.0,San Antonio Spurs,San Antonio
Carrick Felix,American,32.0,Cleveland Cavaliers,Cleveland
Vernon Maxwell,American,58.0,Houston Rockets,Downtown Houston
Michael Carter-Williams,American,32.0,Orlando Magic,"Orlando, Florida"
Dino Rađa,Croatian,56.0,Boston Celtics,Boston
Caleb Martin,American,28.0,Miami Heat,"Miami, FL"
Jonathan Kuminga,Congolese,22.0,Golden State Warriors,San Francisco
Harry Junior 'The Horse' Gallatin,American,88.0,New York Knicks,New York City
Bam Adebayo,American,27.0,Miami Heat,"Miami, FL"
OG Anunoby,British,27.0,New York Knicks,New York City
LeBron James,American,39.0,Los Angeles Lakers,Los Angeles
Victor Wembanyama,French,19.0,San Antonio Spurs,San Antonio
DaMon William 'Monti' Davis,American,55.0,Philadelphia 76ers,Philadelphia
Paul George,American,33.0,Los Angeles Clippers,Los Angeles
Jrue Holiday,American,34.0,Boston Celtics,Boston
Darnell Hillman,USA,nan,Indiana Pacers,Indianapolis
Dennis Schröder,German,31.0,Brooklyn Nets,Brooklyn
Lonzo Ball,American,26.0,Chicago Bulls,Chicago
Kevon Looney,American,28.0,Golden State Warriors,San Francisco
Devin Booker,American,27.0,Phoenix Suns,"Phoenix, Arizona"
Ken Green,American,64.0,New York Knicks,New York City
Kobe Bryant,American,42.0,Los Angeles Lakers,Los Angeles
Magic,American,64.0,Los Angeles Lakers,Los Angeles
Mark Price,American,59.0,Cleveland Cavaliers,Cleveland
Austin Reaves,American,26.0,Los Angeles Lakers,Los Angeles
Trent Tucker,American,64.0,New York Knicks,New York City
Zach LaVine,American,29.0,Chicago Bulls,Chicago
Kevin Love,American,35.0,Miami Heat,"Miami, FL"
Zach Collins,American,27.0,San Antonio Spurs,San Antonio
Bill Hewitt,American,79.0,Los Angeles Lakers,Los Angeles
Kyle Lowry,American,38.0,Philadelphia 76ers,Philadelphia
Joel Embiid,Cameroonian-American,29.0,Philadelphia 76ers,Philadelphia
Jahlil Okafor,Nigerian-American,23.0,Philadelphia 76ers,Philadelphia
Buddy Hield,Bahamian,31.0,Golden State Warriors,San Francisco
Jaime Jaquez Jr.,American and Mexican,23.0,Miami Heat,"Miami, FL"
Kyrie Irving,American,32.0,Brooklyn Nets,Brooklyn
Dwayne Schintzius,American,44.0,San Antonio Spurs,San Antonio
Jamal Crawford,American,43.0,Brooklyn Nets,Brooklyn
Shaquille O'Neal,American,nan,Miami Heat,"Miami, FL"
Lamar Brandon Stevens,American,27.0,Memphis Grizzlies,"Memphis, Tennessee"
Dan Anderson,American,72.0,Portland Trail Blazers,"Portland, Oregon"
Al Horford,Dominican,38.0,Boston Celtics,Boston
Trayce Jackson-Davis,American,23.0,Golden State Warriors,San Francisco
Chris Paul,American,38.0,Phoenix Suns,"Phoenix, Arizona"
Jalen Brunson,American,27.0,New York Knicks,New York City
Tyler Herro,American,24.0,Miami Heat,"Miami, FL"
Jayson Tatum,American,26.0,Boston Celtics,Boston
Stephen Curry,American,35.0,Golden State Warriors,San Francisco
Cal Ramsey,American,82.0,New York Knicks,New York City
Timothy Theodore Duncan,American,48.0,San Antonio Spurs,San Antonio
Anthony Avent,American,54.0,Bucks,Milwaukee
Andrew Christian Wiggins,Canadian,29.0,Golden State Warriors,San Francisco
Draymond Green,American,32.0,Golden State Warriors,San Francisco
Duncan McBryde Robinson,American,29.0,Miami Heat,"Miami, FL"
Derrick Chievous,American,56.0,Houston Rockets,Downtown Houston
