city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke University,,,,
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,California Golden Bears,,,,
boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA Bruins,,,,
boston,Massachusetts,Boston Celtics,Al Horford,University of Florida,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins,,,,
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins,,,,
dallas,Texas,Dallas Mavericks,Jalen Marquis Brunson,Villanova University,,,,
houston,Texas,Houston Rockets,Kostas Papanikolaou,,,,,
los angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes,,,,
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves,Wichita State Shockers,,,,
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky Wildcats,,,,
los angeles,California,Los Angeles Lakers,LeBron Raymone James Sr.,St. Vincent–St. Mary High School,,,,
los angeles,California,Los Angeles Lakers,Earvin Johnson,Michigan State,,,,
los angeles,California,Los Angeles Lakers,Kermit Washington,American University,,,,
miami,Florida,Miami Heat,Kevin Wesley Love,UCLA Bruins,,,,
miami,Florida,Miami Heat,Tyler Herro,University of Kentucky,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,Williams College Ephs,,,,
miami,Florida,Miami Heat,Jimmy Butler III,Tyler Junior College,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins,,,,
miami,Florida,Miami Heat,Bam Adebayo,University of Kentucky,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,Filathlitikos,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,University of Georgia,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,University of Kentucky,,,,
phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant,University of Texas,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,Metropolitans 92,,,,
san antonio,Texas,San Antonio Spurs,Chris Paul,Wake Forest University,,,,
san antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest Demon Deacons,,,,
san francisco,California,Golden State Warriors,"Buddy Hield Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners,,,,
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks,,,,
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson College,,,,
san francisco,California,Golden State Warriors,Kevon Looney,UCLA Bruins,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State Spartans,,,,
san francisco,California,Golden State Warriors,Jonathan Kuminga,UNLV,,,,
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana,,,,
