ownership,championship,founded_year,team_name
Atlanta Spirit LLC,1,1946,Atlanta Hawks
,18,1946,Boston Celtics
Joseph Tsai,0,1967,Brooklyn Nets
Gabe Plotkin and Rick Schnall,0,1988,Charlotte Hornets
,6,1966,Chicago Bulls
Dan Gilbert,1,1970,Cleveland Cavaliers
Miriam Adelson and Patrick Dumont,1,1980,Dallas Mavericks
,1,1967,Denver Nuggets
,3,1937,Detroit Pistons
,7,1946,Golden State Warriors
,2,1967,Houston Rockets
,3,1967,Indiana Pacers
Steve Ballmer,0,1970,Los Angeles Clippers
Jerry Buss (from 1979),17,1946,Los Angeles Lakers
Micky Arison,3,1988,Miami Heat
Wes Edens and Marc Lasry,2,1968,Milwaukee Bucks
James L. Dolan,2,1946,New York Knicks
"Professional Basketball Club LLC, a group of Oklahoma City investors led by Clay Bennett",0,1967,Oklahoma City Thunder
Harris Blitzer Sports & Entertainment (HBSE),3,1946,Philadelphia 76ers
,0,1968,Phoenix Suns
Paul Allen,1,1970,Portland Trail Blazers
,1,1923,Sacramento Kings
,5,1967,San Antonio Spurs
,0,1974,Utah Jazz
Ted Leonsis,1,1961,Washington Wizards
