name,nationality,age,team_name,location
andre jamal drummond,American,32,Philadelphia 76ers,Philadelphia
andrew christian wiggins,Canadian,30,Golden State Warriors,San Francisco
anthony edwards,American,24,Minnesota Timberwolves,Minneapolis
austin tyler reaves,American,27,Los Angeles Lakers,Los Angeles
christopher emmanuel paul,American,40,San Antonio Spurs,San Antonio
d'angelo russell,American,29,Los Angeles Lakers,Los Angeles
derek grimm,American,51,Sacramento Kings,Sacramento
devin armani booker,American,28,Phoenix Suns,Phoenix
draymond jamal green,American,35,Golden State Warriors,San Francisco
duncan mcbryde robinson,American,31,Miami Heat,Miami
eric johnson jones,American-Spanish,59,Utah Jazz,Salt Lake City
harrison bryce jordan barnes,American,33,San Antonio Spurs,San Antonio
isiah thomas,American,64,Detroit Pistons,Detroit
jaden edward dhananjay ivey,American,23,Detroit Pistons,Detroit
jalen marquis brunson,American,29,New York Knicks,New York City
jamal crawford,American,45,Brooklyn Nets,Brooklyn
jaylen marselles brown,American,29,Boston Celtics,Boston
jayson christopher tatum,American,27,Boston Celtics,Boston
jimmy butler,American,36,Miami Heat,Miami
joel hans embiid,Cameroonian-American,31,Philadelphia 76ers,Philadelphia
jonathan malangu kuminga,Congolese,23,Golden State Warriors,San Francisco
jrue randall holiday,American,35,Boston Celtics,Boston
kermit washington,American,74,Golden State Warriors,San Francisco
kevin wesley love,American,37,Miami Heat,Miami
kyle forman anderson,American-Chinese,33,Golden State Warriors,San Francisco
kyle terrell lowry,American,39,Philadelphia 76ers,Philadelphia
kyrie andrew irving,American,33,Dallas Mavericks,Dallas
max berning fiedler,American,24,Philadelphia 76ers,Philadelphia
paul clifton anthony george,American,35,Philadelphia 76ers,Philadelphia
rik smits,Dutch,59,Indiana Pacers,Indianapolis
steve kerr,American,60,Golden State Warriors,San Francisco
tim duncan,American,50,San Antonio Spurs,San Antonio
tyler christopher herro,American,25,Miami Heat,Miami
wardell stephen curry,American,37,Golden State Warriors,San Francisco
zachary thomas lavine,American,30,Chicago Bulls,Chicago
