name,team_name,city_name,state_name
Stephen Curry,Golden State Warriors,San Francisco,California
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
Isiah Thomas,Detroit Pistons,Detroit,Michigan
Andrew Wiggins,Golden State Warriors,San Francisco,California
Jonathan Kuminga,Golden State Warriors,San Francisco,California
Ausar Thompson,Detroit Pistons,Detroit,Michigan
Kevon Looney,Golden State Warriors,San Francisco,California
Steve Kerr,Golden State Warriors,San Francisco,California
Brandan Keith Wright,Golden State Warriors,San Francisco,California
Cade Cunningham,Detroit Pistons,Detroit,Michigan
Jarrett Jack,Denver Nuggets,Denver,Colorado
Draymond Green,Golden State Warriors,San Francisco,California
Jaden Ivey,Detroit Pistons,Detroit,Michigan
"Kyle Anderson (Golden State Warriors, San Francisco)",Golden State Warriors,San Francisco,California
