team_name,location,city_name,state_name
Miami Heat,Miami,Miami,Florida
Bulls,Chicago,Chicago,Illinois
Golden State Warriors,San Francisco,San Francisco,California
Cavaliers,Cleveland,Cleveland,Ohio
Philadelphia 76ers,Philadelphia,Philadelphia,Pennsylvania
Bucks,Milwaukee,Milwaukee,Wisconsin
Utah Jazz,Salt Lake City,Salt Lake City,Utah
Knicks,New York,New York,New York
Lakers,Los Angeles,Los Angeles,California
Detroit Pistons,Detroit,Detroit,Michigan
Denver Nuggets,Denver,Denver,Colorado
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
