name,draft_pick,college,team_name
Jaime Jaquez Jr.,18.0,UCLA,Miami Heat
Derrick Chievous,16.0,University of Missouri,Houston Rockets
,5.0,Michigan State,Miami Heat
Boyd,5.0,Oregon State University,76ers
Anthony Marshon Davis Jr.,1.0,Kentucky Wildcats,Los Angeles Lakers
Rik Smits,2.0,Marist College,Indiana Pacers
Dennis Schröder,17.0,,Brooklyn Nets
Nate Huffman,0.0,Central Michigan University,Toronto Raptors
Jonathan Kuminga,7.0,,Golden State Warriors
Erick Strickland,0.0,University of Nebraska,Dallas Mavericks
Steve Kerr,50.0,Arizona,Golden State Warriors
Dino Radja,40.0,,Boston Celtics
Carrick Felix,33.0,Arizona State,Cleveland Cavaliers
Trayce Jackson-Davis,57.0,Indiana,Golden State Warriors
"Earvin ""Magic"" Johnson Jr.",1.0,Michigan State,Los Angeles Lakers
Duncan McBryde Robinson,0.0,Williams College,Miami Heat
Kyrie Irving,1.0,Duke,Cleveland Cavaliers
Kobe Bryant,13.0,,Los Angeles Lakers
Jimmy Butler,30.0,"Tyler Junior College, Marquette University",Miami Heat
Michael Jeffrey Jordan,3.0,North Carolina Tar Heels,Chicago Bulls
Giannis Antetokounmpo,15.0,,Bucks
Kevin Durant,2.0,Texas,Brooklyn Nets
William Bedford,6.0,University of Memphis,Phoenix Suns
Jaden Ivey,5.0,Purdue,Detroit Pistons
Ausar Thompson,5.0,,Detroit Pistons
Al Horford,3.0,Florida,Atlanta Hawks
Jayson Tatum,3.0,Duke,Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Vernon Maxwell,2.0,University of Florida,Houston Rockets
LeBron James,1.0,,Los Angeles Lakers
Austin Reaves,0.0,Wichita State,Los Angeles Lakers
Jay Vincent,24.0,Michigan State,Dallas Mavericks
Kevin Love,5.0,UCLA,Miami Heat
Kyle Anderson,30.0,UCLA,Golden State Warriors
Lonzo Ball,2.0,UCLA,Chicago Bulls
Andre Drummond,9.0,Connecticut Huskies,Detroit Pistons
Chris Paul,4.0,Wake Forest University,San Antonio Spurs
Tyler Herro,13.0,Kentucky,Miami Heat
darnell_hillman,8.0,San Jose State,Indiana Pacers
Andrew Wiggins,1.0,Kansas,Golden State Warriors
Dwayne Schintzius,24.0,University of Florida,San Antonio Spurs
Draymond Green,35.0,Michigan State,Golden State Warriors
Dan Anderson,2.0,,Trail Blazers
Jrue Holiday,17.0,UCLA,Boston Celtics
Tom Copa,44.0,Marquette,San Antonio Spurs
Buddy Hield,6.0,Oklahoma Sooners,Golden State Warriors
Bam Adebayo,14.0,Kentucky,Miami Heat
Aaron Williams,0.0,Xavier University,Utah Jazz
Tim Duncan,1.0,Wake Forest Demon Deacons,San Antonio Spurs
Anthony Avent,15.0,Seton Hall University,Bucks
Harrison Barnes,7.0,North Carolina,San Antonio Spurs
Kevon Looney,30.0,UCLA,Golden State Warriors
Zach LaVine,13.0,UCLA Bruins,Chicago Bulls
John Lucas II,0.0,University of Maryland,Houston Rockets
Devin Booker,13.0,Kentucky,Phoenix Suns
Cade Cunningham,1.0,Oklahoma State,Detroit Pistons
Joseph Forte,21.0,University of North Carolina,Boston Celtics
Zach Collins,10.0,Gonzaga,San Antonio Spurs
Isiah Lord Thomas III,2.0,Indiana,Detroit Pistons
Stephen Curry,7.0,Davidson,Golden State Warriors
Jamal Crawford,8.0,University of Michigan,Chicago Bulls
