name,college,team_name,gdp
Kevin Love,UCLA,Cleveland Cavaliers,nan
Michael Carter-Williams,Syracuse,Philadelphia 76ers,nan
Paul George,Fresno State,Philadelphia 76ers,nan
Michael Carter-Williams,Syracuse,Philadelphia 76ers,nan
Lavoy Allen,Temple University,Philadelphia 76ers,nan
Shaquille Rashaun O'Neal,LSU,Orlando Magic,nan
Kyrie Irving,,,nan
Jahlil Okafor,Duke,Philadelphia 76ers,nan
Carrick Felix,Arizona State,Cleveland Cavaliers,nan
Donyell Marshall,University of Connecticut,Minnesota Timberwolves,nan
Fred Boyd,Oregon State University,Philadelphia 76ers,nan
Mark Price,Georgia Tech,Cleveland Cavaliers,nan
Anthony Edwards,Georgia,Minnesota Timberwolves,nan
Joseph Forte,University of North Carolina at Chapel Hill,Boston Celtics,84500.0
Anthony Edwards,Georgia,Minnesota Timberwolves,nan
Paul George,Fresno State,Philadelphia 76ers,nan
Lavoy Allen,Temple University,Philadelphia 76ers,nan
Jahlil Okafor,Duke,Philadelphia 76ers,nan
Mark Price,Georgia Tech,Cleveland Cavaliers,nan
Fred Boyd,Oregon State University,Philadelphia 76ers,nan
Kyrie Irving,,,nan
Kyrie Irving,,,nan
Kyle Lowry,Villanova,Toronto Raptors,300000000000.0
Shaquille Rashaun O'Neal,LSU,Orlando Magic,nan
Kyrie Irving,,,nan
Lavoy Allen,Temple University,Philadelphia 76ers,nan
Michael Carter-Williams,Syracuse,Philadelphia 76ers,nan
Kyrie Irving,,,nan
Kevin Love,UCLA,Cleveland Cavaliers,nan
Carrick Felix,Arizona State,Cleveland Cavaliers,nan
Fred Boyd,Oregon State University,Philadelphia 76ers,nan
Mark Price,Georgia Tech,Cleveland Cavaliers,nan
Joel Embiid,Kansas Jayhawks,Philadelphia 76ers,nan
Anthony Edwards,Georgia,Minnesota Timberwolves,nan
Jahlil Okafor,Duke,Philadelphia 76ers,nan
Joel Embiid,Kansas Jayhawks,Philadelphia 76ers,nan
Carrick Felix,Arizona State,Cleveland Cavaliers,nan
Kyrie Irving,,,nan
Paul George,Fresno State,Philadelphia 76ers,nan
Kevin Love,UCLA,Cleveland Cavaliers,nan
Donyell Marshall,University of Connecticut,Minnesota Timberwolves,nan
Tony Delk,University of Kentucky,Charlotte Hornets,0.0
Kyrie Irving,,,nan
Shaquille Rashaun O'Neal,LSU,Orlando Magic,nan
Donyell Marshall,University of Connecticut,Minnesota Timberwolves,nan
Kyrie Irving,,,nan
Jrue Holiday,UCLA,Boston Celtics,84500.0
Kyrie Irving,,,nan
Joel Embiid,Kansas Jayhawks,Philadelphia 76ers,nan
