name,position,team_name,founded_year
Phil Jackson,Power Forward,New York Knicks,1946.0
Stephen Curry,point guard,Golden State Warriors,1946.0
Harry Gallatin,center,New York Knicks,1946.0
John Lucas II,player,Houston Rockets,1967.0
Kevin Wayne Durant,basketball player,Phoenix Suns,1968.0
Kevin Love,forward,Miami Heat,1988.0
Jimmy Butler,Shooting Guard/Small Forward,Miami Heat,1988.0
Zach LaVine,point guard,Chicago Bulls,1966.0
nan,,Phoenix Suns,1968.0
Jay Vincent,forward,Dallas Mavericks,1980.0
Trent Tucker,shooting guard,New York Knicks,1946.0
D'Angelo Russell,point guard,Los Angeles Lakers,1946.0
Andre Drummond,C,Philadelphia 76ers,1946.0
Al Horford,center,Boston Celtics,1946.0
Shaquille Rashaun O'Neal,center,Los Angeles Lakers,1946.0
Steve Kerr,shooting guard and small forward,Chicago Bulls,1966.0
Kyrie Irving,PG,Brooklyn Nets,1967.0
Draymond Green,power forward,Golden State Warriors,1946.0
Kyle Anderson,point guard,Golden State Warriors,1946.0
Duncan McBryde Robinson,point guard,Miami Heat,1988.0
Bam Adebayo,Power Forward/Center,Miami Heat,1988.0
Derek Grimm,forward,Sacramento Kings,1945.0
Donyell Lamar Marshall,forward,Minnesota Timberwolves,1989.0
Darnell Hillman,Forward,Indiana Pacers,1967.0
Austin Reaves,guard,Los Angeles Lakers,1946.0
Earvin 'Magic' Johnson Jr.,Point Guard,Los Angeles Lakers,1946.0
Jrue Holiday,point guard,Boston Celtics,1946.0
Drew Edward Gordon,power forward,Philadelphia 76ers,1946.0
Rik Smits,Center,Indiana Pacers,1967.0
Ken Green,basketball,New York Knicks,1946.0
OG Anunoby,forward/guard,New York Knicks,1946.0
Harrison Barnes,forward,San Antonio Spurs,1967.0
Andrew Wiggins,forward,Golden State Warriors,1946.0
Buddy Hield,Guard/SG,Golden State Warriors,1946.0
Michael Jeffrey Jordan,guard,Chicago Bulls,1966.0
Kermit Washington,forward,Los Angeles Lakers,1946.0
Paul George,forward,Los Angeles Clippers,1970.0
Jaylen Brown,shooting guard,Boston Celtics,1946.0
Timothy Theodore Duncan,power forward,San Antonio Spurs,1967.0
Erick Strickland,Guard,Dallas Mavericks,1980.0
Dennis Schröder,basketball player,Brooklyn Nets,1967.0
Kobe Bryant,shooting guard,Los Angeles Lakers,1946.0
Kevon Looney,power forward/center,Golden State Warriors,1946.0
Isiah Thomas,player,Detroit Pistons,1937.0
Garry Witts,player,Bullets,1961.0
Gerald Madkins,Guard,New York Knicks,1946.0
LeBron Raymone James Sr.,forward,Los Angeles Lakers,1946.0
Zach Collins,Center,San Antonio Spurs,1967.0
Lonzo Ball,point guard,Chicago Bulls,1966.0
Thomas Kimball,power forward/center,Boston Celtics,1946.0
Kurt Thomas,power forward-center,New York Knicks,1946.0
Chris Paul,point guard,Phoenix Suns,1968.0
Kyle Lowry,Point Guard,Philadelphia 76ers,1946.0
Anthony Marshon Davis Jr.,power forward and center,New Orleans Pelicans,2002.0
