document_id,content,extraction_status,name,team,position,nationality,draft_year,_doc_id,extraction_error
1.txt,"
Antonius Cleveland

Antonius Cleveland (born February 2, 1994) is an American professional basketball player for Lokomotiv Kuban of the VTB United League. He played college basketball for Southeast Missouri State University. He played in the NBA for the Dallas Mavericks and Atlanta Hawks.

Early life and high school career

Cleveland was born in Memphis, Tennessee, as the only child of mother Shonda Bowie. Bowie worked two jobs to support herself and Cleveland: as a nutrition supervisor for Mem",failed_to_parse,,,,,,,
,,,Thomas Kimball,"['Boston Celtics', 'San Diego Rockets', 'Milwaukee Bucks', 'Kansas City Kings', 'Philadelphia 76ers', 'New Orleans Jazz']",power forward/center,American,,10.txt,
100.txt,"
Buddy Hield

Chavano Rainer ""Buddy"" Hield (/hiːld/ HEELD; born December 17, 1992) is a Bahamian professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). He played college basketball for the Oklahoma Sooners and was named the Big 12 Conference Men's Basketball Player of the Year in 2015 and 2016. In 2016, he received four major national player of the year awards: the John R. Wooden Award, the Naismith Award, Sporting News Player of the Year, and ",failed_to_parse,,,,,,,
101.txt,"
D'Angelo Russell

D'Angelo Russell (born February 23, 1996), nicknamed ""DLo"", is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He was selected as a McDonald's All-American in 2014 and played college basketball for the Ohio State Buckeyes. He was selected second overall in the 2015 NBA draft by the Lakers.
Playing point guard, Russell was named to the NBA All-Rookie Second Team with the Lakers in 2016. He was traded to the Bro",failed_to_parse,,,,,,,
102.txt,"
Joel Embiid

""Embiid"" redirects here. Not to be confused with Embiidae or Embid.
Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American[a] professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the Al",,,,,,,,"list indices must be integers or slices, not str"
103.txt,"
Paul George

For other people named Paul George, see Paul George (disambiguation).
Paul Clifton Anthony George (born May 2, 1990) is an American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). Nicknamed ""PG-13"", he is a nine-time NBA All-Star and six-time member of the All-NBA Team, as well as a four-time member of the NBA All-Defensive Team.
George played high school basketball for Knight High School before playing two seasons of college ",failed_to_parse,,,,,,,
104.txt,"
Kyrie Irving

Kyrie Andrew Irving (/ˈkaɪri/ KY-ree; Lakota: Ȟéla, lit. 'Little Mountain'; born March 23, 1992) is an American professional basketball player for the Dallas Mavericks of the National Basketball Association (NBA). He was named the Rookie of the Year after being selected by the Cleveland Cavaliers with the first overall pick in the 2011 NBA draft. An eight-time All-Star and three-time member of the All-NBA Team, Irving won an NBA championship with the Cavaliers in 2016. He is widel",,,,,,,,"list indices must be integers or slices, not str"
105.txt,"
Jayson Tatum

Jayson Christopher Tatum (/ˈteɪtəm/ TAY-təm; born March 3, 1998) is an American professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He was a McDonald's All-American in high school in Missouri and played college basketball for the Duke Blue Devils. Tatum was selected by the Boston Celtics with the third overall pick in the 2017 NBA draft and was voted to the NBA All-Rookie First Team in the 2018 season.  Tatum won the inaugural NBA Ea",,,,,,,,"list indices must be integers or slices, not str"
,,,Caleb Martin,Philadelphia 76ers,small forward,American,2019.0,106.txt,
107.txt,"
Andrew Wiggins

This is the latest accepted revision, reviewed on 29 August 2024.
For other people with similar names, see Andrew Wiggin (disambiguation) and Andrew Higgins (disambiguation).
Andrew Christian Wiggins (born February 23, 1995) is a Canadian professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). He was selected with the first overall pick in the 2014 NBA draft by the Cleveland Cavaliers after one year of college basketball with th",failed_to_parse,,,,,,,
