championship,location,age,olympic_gold_medals,name
17,Los Angeles,66,0.0,Jay Vincent Jay Fletcher Vincent
0,Orlando,61,0.0,Mark Price
2,Milwaukee,51,0.0,Erick Strickland
1,Sacramento,51,0.0,Derek Grimm
17,Los Angeles,32,2.0,Anthony Marshon Davis Jr.
2,Houston,37,0.0,Brandan Keith Wright
2,New York City,66,0.0,"Kenneth ""Apple"" Green"
2,New York City,95,0.0,Don Anielak
17,Los Angeles,80,0.0,Philip Douglas Jackson
3,Philadelphia,33,0.0,Drew Edward Gordon
3,Detroit,41,0.0,Jarrett Jack
3,Philadelphia,36,0.0,Lavoy Allen
17,Los Angeles,66,1.0,Magic Johnson
18,Boston,105,0.0,Stanley M. Noszka
3,Detroit,64,0.0,Isiah Thomas
1,Portland,74,0.0,Dan Anderson
6,Chicago,65,0.0,Trent Tucker
0,Phoenix,49,0.0,Miles Julian Simon
2,Milwaukee,90,0.0,Guy William Rodgers
1,Dallas,60,0.0,Vernon Maxwell
5,San Antonio,50,0.0,Tim Duncan
2,New York City,88,0.0,Calvin Ramsey
1,Cleveland,58,0.0,Derrick Chievous
3,Indianapolis,59,0.0,Rik Smits
0,Minneapolis,24,1.0,Anthony Edwards
3,Detroit,98,0.0,"Harry Junior ""The Horse"" Gallatin"
7,San Francisco,76,0.0,Darnell Hillman
2,New York City,53,0.0,Kurt Thomas
0,Phoenix,37,4.0,Kevin Wayne Durant
0,Los Angeles,54,,Aaron Williams
1,Toronto,50,0.0,Nathaniel Thomas Huffman
2,Houston,59,0.0,Rodney Strickland
0,Memphis,28,0.0,Lamar Brandon Stevens
7,San Francisco,60,1.0,Steve Kerr
3,Indianapolis,57,0.0,Gregory Clinton Foster
17,Los Angeles,81,0.0,Bill Hewitt
1,Portland,23,0.0,Jabari Dominic Walker
0,Brooklyn,45,0.0,Jamal Crawford
7,San Francisco,74,0.0,Kermit Washington
2,New York City,78,0.0,Greg Fillmore Gregory Paul Fillmore
2,Houston,72,0.0,John Harding Lucas II
18,Boston,80,0.0,Garfield Smith
0,Brooklyn,32,0.0,Dennis Schr?der
1,Dallas,67,0.0,"Monti Davis DaMon William ""Monti"" Davis"
0,Salt Lake City,59,0.0,Eric Johnson Jones
7,San Francisco,25,0.0,Trayce Jackson-Davis
3,Philadelphia,32,0.0,Andre Jamal Drummond
7,San Francisco,33,0.0,"Chavano Rainer ""Buddy"" Hield"
17,Los Angeles,29,0.0,D'Angelo Russell
3,Philadelphia,31,1.0,Joel Hans Embiid
3,Philadelphia,35,1.0,Paul Clifton Anthony George
1,Dallas,33,1.0,Kyrie Andrew Irving
18,Boston,27,2.0,Jayson Christopher Tatum
3,Philadelphia,30,0.0,Caleb Martin
7,San Francisco,30,0.0,Andrew Christian Wiggins
3,Philadelphia,24,0.0,Max Berning Fiedler
2,New York City,28,0.0,"Ogugua ""OG"" Anunoby Jr."
18,Boston,29,0.0,Jaylen Marselles Brown
5,San Antonio,21,0.0,Victor Wembanyama
18,Boston,35,2.0,Jrue Randall Holiday
17,Los Angeles,27,0.0,Austin Tyler Reaves
3,Miami,37,1.0,Kevin Wesley Love
2,Milwaukee,31,0.0,Giannis Sina Ugo Antetokounmpo
7,San Francisco,37,1.0,Wardell Stephen Curry II
18,Boston,39,0.0,Alfred Joel Horford Reynoso
3,Miami,25,0.0,Tyler Christopher Herro
3,Miami,31,0.0,Duncan McBryde Robinson
7,San Francisco,33,0.0,Kyle Forman Anderson
3,Detroit,24,0.0,Cade Parker Cunningham
17,Los Angeles,40,3.0,LeBron Raymone James Sr.
3,Miami,36,1.0,Jimmy Butler III
7,San Francisco,29,0.0,Kevon Grant Looney
6,Chicago,30,1.0,Zachary Thomas LaVine
3,Detroit,23,0.0,Jaden Edward Dhananjay Ivey
3,Philadelphia,39,1.0,Kyle Terrell Lowry
0,Phoenix,28,2.0,Devin Armani Booker
7,San Francisco,35,2.0,Draymond Jamal Green
5,San Antonio,28,0.0,Zach Collins
7,San Francisco,23,0.0,Jonathan Malangu Kuminga
6,Chicago,28,0.0,Lonzo Anderson Ball
3,Miami,24,0.0,Jaime Jaquez Jr.
3,Detroit,22,0.0,Ausar XLNC Thompson
2,New York City,29,0.0,Jalen Marquis Brunson
18,Boston,53,1.0,Shaquille Rashaun O'Neal
17,Los Angeles,47,2.0,Kobe Bean Bryant
5,San Antonio,40,2.0,Christopher Emmanuel Paul
5,San Antonio,33,1.0,Harrison Bryce Jordan Barnes
3,Miami,28,2.0,"Edrice Femi ""Bam"" Adebayo"
