name,college,team_name,gdp,city.id,id,player.id,team.id
andrew christian wiggins,University of Kansas,Golden State Warriors,$729 billion,,,,
anthony edwards,University of Georgia,Minnesota Timberwolves,69397.0,,,,
anthony marshon davis,Kentucky Wildcats,Los Angeles Lakers,1000000.0,,,,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,$729 billion,,,,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,$121 billion,,,,
d'angelo russell,Ohio State Buckeyes,Los Angeles Lakers,1000000.0,,,,
darnell hillman,San Jose State University,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)",,,,
derrick chievous,University of Missouri,Houston Rockets,,,,,
draymond jamal green,Michigan State Spartans,Golden State Warriors,$729 billion,,,,
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344900000000.0,,,,
garfield smith,,Boston Celtics,,,,,
giannis sina ugo antetokounmpo,,Milwaukee Bucks,10200000000.0,,,,
harrison bryce jordan barnes,University of North Carolina,San Antonio Spurs,$121 billion,,,,
jaime jaquez,UCLA Bruins,Miami Heat,344900000000.0,,,,
jay vincent jay fletcher vincent,Michigan State University,Dallas Mavericks,,,,,
jaylen marselles brown,"University of California, Berkeley",Boston Celtics,,,,,
jayson christopher tatum,Duke Blue Devils,Boston Celtics,,,,,
jimmy butler,"Tyler Junior College, Marquette University",Miami Heat,344900000000.0,,,,
john harding lucas,University of Maryland,Houston Rockets,,,,,
jonathan malangu kuminga,The Patrick School,Golden State Warriors,$729 billion,,,,
jrue randall holiday,UCLA Bruins,Boston Celtics,,,,,
kermit washington,American University,Los Angeles Lakers,1000000.0,,,,
kevin wesley love,UCLA Bruins,Cleveland Cavaliers,$176 billion,,,,
kevon grant looney,UCLA Bruins,Golden State Warriors,$729 billion,,,,
kyle forman anderson,UCLA Bruins,Golden State Warriors,$729 billion,,,,
kyrie andrew irving,Duke Blue Devils,Dallas Mavericks,,,,,
lebron raymone james,,Los Angeles Lakers,1000000.0,,,,
lonzo anderson ball,UCLA Bruins,Chicago Bulls,689000000000.0,,,,
mark price,Georgia Tech,Cleveland Cavaliers,$176 billion,,,,
rik smits,Marist College,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)",,,,
shaquille rashaun o'neal,LSU Tigers,Los Angeles Lakers,1000000.0,,,,
trayce jackson-davis,Indiana Hoosiers,Golden State Warriors,$729 billion,,,,
tyler christopher herro,University of Kentucky,Miami Heat,344900000000.0,,,,
vernon maxwell,University of Florida,Houston Rockets,,,,,
victor wembanyama,,San Antonio Spurs,$121 billion,,,,
wardell stephen curry,Davidson,Golden State Warriors,$729 billion,,,,
zach collins,Gonzaga,San Antonio Spurs,$121 billion,,,,
zachary thomas lavine,UCLA,Chicago Bulls,689000000000.0,,,,
