city_name,state_name,team_name,name
boston,Massachusetts,Boston Celtics,Alfred Joel Horford Reynoso
boston,Massachusetts,Boston Celtics,Jrue Randall Holiday
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown
boston,Massachusetts,Boston Celtics,Jayson Christopher Tatum
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine
dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves
los angeles,California,Los Angeles Lakers,D'Angelo Russell
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo"
miami,Florida,Miami Heat,Jaime Jaquez Jr.
miami,Florida,Miami Heat,Jimmy Butler III
miami,Florida,Miami Heat,Duncan McBryde Robinson
miami,Florida,Miami Heat,Tyler Christopher Herro
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
san antonio,Texas,San Antonio Spurs,Zach Collins
san antonio,Texas,San Antonio Spurs,Victor Wembanyama
san francisco,California,Golden State Warriors,Jonathan Malangu Kuminga
san francisco,California,Golden State Warriors,Draymond Jamal Green
san francisco,California,Golden State Warriors,Kevon Grant Looney
san francisco,California,Golden State Warriors,Kyle Forman Anderson
san francisco,California,Golden State Warriors,Wardell Stephen Curry II
san francisco,California,Golden State Warriors,Andrew Christian Wiggins
san francisco,California,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield"
san francisco,California,Golden State Warriors,Trayce Jackson-Davis
