name,position,team_name,founded_year
Paul George,Shooting Guard,Indiana Pacers,1967
Duncan McBryde Robinson,,Miami Heat,1988
Jayson Tatum,,Boston Celtics,1946
Chris Paul,Point guard,Phoenix Suns,1968
Jalen Brunson,Point Guard,Dallas Mavericks,1980
Kyrie Irving,,Brooklyn Nets,1967
Steve Smith,,Portland Trail Blazers,1970
Zach LaVine,Point guard,Chicago Bulls,1966
Kyle Forman Anderson,,Golden State Warriors,1962
Al Horford,,Philadelphia 76ers,1946
Jimmy Butler,,Miami Heat,1988
Michael Jordan,Shooting guard,Chicago Bulls,1966
Devin Booker,Sophomore guard,Phoenix Suns,1968
Tim Duncan,Power Forward,San Antonio Spurs,1967
Jaylen Brown,,Boston Celtics,1946
Stephen Curry,Point guard,Golden State Warriors,1962
Isiah Thomas,,Detroit Pistons,1937
Andre Drummond,Center,Detroit Pistons,1937
Kyle Lowry,,Miami Heat,1988
Joel Embiid,,Philadelphia 76ers,1946
Kevin Love,,Miami Heat,1988
Steve Kerr,,Golden State Warriors,1962
Kermit Washington,Backcourt,Los Angeles Lakers,1967
Dwayne Schintzius,,San Antonio Spurs,1967
Aaron Jamal Crawford,,Phoenix Suns,1968
Eric Johnson,,Utah Jazz,1974
