city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke Blue Devils,,,,
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley",,,,
boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA Bruins,,,,
boston,Massachusetts,Boston Celtics,Al Horford,University of Florida,,,,
boston,Massachusetts,Boston Celtics,Lamar Brandon Stevens,Penn State Nittany Lions,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins,,,,
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins,,,,
dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke Blue Devils,,,,
indianapolis,Indiana,Indiana Pacers,Darnell Hillman,San Jose State University,,,,
miami,Florida,Miami Heat,Tyler Herro,University of Kentucky,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,Williams College,,,,
miami,Florida,Miami Heat,Jimmy Butler III,Tyler Junior College,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins,,,,
miami,Florida,Miami Heat,"Bam Adebayo Edrice Femi ""Bam"" Adebayo",University of Kentucky,,,,
miami,Florida,Miami Heat,Steven Delano Smith,Michigan State,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,Filathlitikos,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Anthony Avent,Seton Hall University,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia Bulldogs,,,,
new york city,New York,New York Knicks,"OG Anunoby Ogugua ""OG"" Anunoby Jr.",Indiana University,,,,
new york city,New York,New York Knicks,Jalen Marquis Brunson,Villanova University,,,,
new york city,New York,New York Knicks,Jarrett Matthew Jack,Georgia Tech,,,,
new york city,New York,New York Knicks,Jamal Crawford Aaron Jamal Crawford,University of Michigan,,,,
orlando,Florida,Orlando Magic,Shaquille Rashaun O'Neal,LSU,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,Kentucky Wildcats,,,,
phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant,University of Texas at Austin,,,,
portland,Oregon,Portland Trail Blazers,Jabari Dominic Walker,Colorado Buffaloes,,,,
salt lake city,Utah,Utah Jazz,Aaron Williams,Xavier University,,,,
san antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University,,,,
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,North Carolina Tar Heels,,,,
san antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest Demon Deacons,,,,
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks,,,,
san francisco,California,Golden State Warriors,Stephen Curry,Davidson Wildcats,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State Spartans,,,,
san francisco,California,Golden State Warriors,Jonathan Kuminga,,,,,
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers,,,,
toronto,Ontario,Toronto Raptors,Dennis Schröder,,,,,
