name,nationality,age,team_name,location,id,player.id,team.id
andre jamal drummond,American,27.839285714285715,Detroit Pistons,Fort Wayne,,,
andrew christian wiggins,Canadian,23.58,Minnesota Timberwolves,Minnesota,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minnesota,,,
austin tyler reaves,American,25.0,Los Angeles Lakers,Los Angeles,,,
christopher emmanuel paul,American,38.0,Phoenix Suns,Phoenix,,,
d'angelo russell,American,25.0,Los Angeles Lakers,Los Angeles,,,
derek grimm,American,,Sacramento Kings,Cincinnati,,,
devin armani booker,American,28.0,Phoenix Suns,Phoenix,,,
draymond jamal green,American,25.0,Golden State Warriors,San Francisco,,,
duncan mcbryde robinson,,32.0,Miami Heat,Miami,,,
eric johnson jones,American-Spanish,56.0,Utah Jazz,New Orleans,,,
harrison bryce jordan barnes,,,Sacramento Kings,Cincinnati,,,
isiah thomas,American,61.0,Detroit Pistons,Fort Wayne,,,
jaden edward dhananjay ivey,American,,Detroit Pistons,Fort Wayne,,,
jalen marquis brunson,American,29.0,Dallas Mavericks,Dallas,,,
jamal crawford,American,39.0,Phoenix Suns,Phoenix,,,
jaylen marselles brown,African-American,27.0,Boston Celtics,Boston,,,
jayson christopher tatum,American,29.0,Boston Celtics,Boston,,,
jimmy butler,American,34.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,31.0,Philadelphia 76ers,Philadelphia,,,
jonathan malangu kuminga,Congolese,21.958333333333336,Golden State Warriors,San Francisco,,,
jrue randall holiday,,,Philadelphia 76ers,Philadelphia,,,
kermit washington,American,43.5,Los Angeles Lakers,Los Angeles,,,
kevin wesley love,American,32.0,Miami Heat,Miami,,,
kyle forman anderson,American-Chinese,29.5,Golden State Warriors,San Francisco,,,
kyle terrell lowry,,32.5,Miami Heat,Miami,,,
kyrie andrew irving,American and Australian,31.0,Brooklyn Nets,Brooklyn,,,
max berning fiedler,American,23.0,Philadelphia 76ers,Philadelphia,,,
paul clifton anthony george,American,32.5,Indiana Pacers,Indianapolis,,,
rik smits,Dutch,,Indiana Pacers,Indianapolis,,,
steve kerr,American,38.5,Golden State Warriors,San Francisco,,,
tim duncan,,26.0,San Antonio Spurs,San Antonio,,,
tyler christopher herro,,21.0,Miami Heat,Miami,,,
wardell stephen curry,American,34.0,Golden State Warriors,San Francisco,,,
zachary thomas lavine,,28.0,Chicago Bulls,Chicago,,,
