name,nationality,age,team_name,location,id,player.id,team.id
andre jamal drummond,American,31.0,Philadelphia 76ers,Philadelphia,,,
andrew christian wiggins,Canadian,29.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American,30.0,Los Angeles Lakers,Los Angeles,,,
austin tyler reaves,American,26.0,Los Angeles Lakers,Los Angeles,,,
brandan keith wright,American,36.0,Golden State Warriors,San Francisco,,,
caleb martin,American,28.0,Philadelphia 76ers,Philadelphia,,,
calvin ramsey,American,82.0,New York Knicks,New York City,,,
"chavano rainer ""buddy"" hield",Bahamas,26.0,Philadelphia 76ers,Philadelphia,,,
christopher emmanuel paul,American,38.0,Phoenix Suns,"Phoenix, Arizona",,,
darnell hillman,American,74.0,Indiana Pacers,Indianapolis,,,
derrick chievous,American,56.0,Houston Rockets,Downtown Houston,,,
devin armani booker,American,27.0,Phoenix Suns,"Phoenix, Arizona",,,
don anielak,American,65.0,New York Knicks,New York City,,,
draymond jamal green,American,33.0,Golden State Warriors,San Francisco,,,
drew edward gordon,American,34.0,Philadelphia 76ers,Philadelphia,,,
duncan mcbryde robinson,American,29.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American,25.0,Miami Heat,Miami,,,
harrison bryce jordan barnes,American,32.0,San Antonio Spurs,San Antonio,,,
jaime jaquez,Mexican-American,23.0,Miami Heat,Miami,,,
jalen marquis brunson,American,27.0,New York Knicks,New York City,,,
jamal crawford,American,43.0,Chicago Bulls,Chicago,,,
jaylen marselles brown,American,28.0,Boston Celtics,Boston,,,
jayson christopher tatum,American,26.0,Boston Celtics,Boston,,,
jimmy butler,American,34.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,29.0,Philadelphia 76ers,Philadelphia,,,
john harding lucas,American,70.0,Houston Rockets,Downtown Houston,,,
jonathan malangu kuminga,Congolese,22.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,34.0,Boston Celtics,Boston,,,
"kenneth ""apple"" green",American,64.0,New York Knicks,New York City,,,
kevin wayne durant,American,35.0,Brooklyn Nets,Brooklyn,,,
kevin wesley love,American,35.0,Miami Heat,Miami,,,
kevon grant looney,American,28.0,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,42.0,Los Angeles Lakers,Los Angeles,,,
kyle forman anderson,American-Chinese,31.0,Golden State Warriors,San Francisco,,,
kyle terrell lowry,American,37.0,Toronto Raptors,Toronto,,,
kyrie andrew irving,American,32.0,Brooklyn Nets,Brooklyn,,,
lamar brandon stevens,American,27.0,Memphis Grizzlies,"Memphis, Tennessee",,,
lavoy allen,American,34.0,Philadelphia 76ers,Philadelphia,,,
lebron raymone james,American,39.0,Miami Heat,Miami,,,
lonzo anderson ball,American,27.0,Chicago Bulls,Chicago,,,
max berning fiedler,American,23.0,Philadelphia 76ers,Philadelphia,,,
"ogugua ""og"" anunoby",British,27.0,New York Knicks,New York City,,,
paul clifton anthony george,American,33.0,Los Angeles Clippers,Los Angeles,,,
philip douglas jackson,American,78.0,Chicago Bulls,Chicago,,,
rik smits,Dutch,57.0,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,,Miami Heat,Miami,,,
steve kerr,American,59.0,Golden State Warriors,San Francisco,,,
trayce jackson-davis,American,23.0,Golden State Warriors,San Francisco,,,
tyler christopher herro,American,24.0,Miami Heat,Miami,,,
vernon maxwell,American,57.0,Houston Rockets,Downtown Houston,,,
victor wembanyama,French,20.0,San Antonio Spurs,San Antonio,,,
wardell stephen curry,American,35.0,Golden State Warriors,San Francisco,,,
zach collins,American,27.0,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,29.0,Chicago Bulls,Chicago,,,
