name,nationality,age,team_name,location
Mark Price,American,-1.0,Cleveland Cavaliers,Cleveland
William Derek Grimm,American,,Sacramento Kings,
Anthony Davis,,-1.0,Los Angeles Lakers,Los Angeles
Kenneth 'Apple' Green,American,,New York Knicks,
Don Anielak,American,,New York Knicks,
Drew Gordon,American,33.0,Philadelphia 76ers,Philadelphia
Jarrett Jack,American,-1.0,Detroit Pistons,Detroit
Earvin Johnson,American,-1.0,Los Angeles Lakers,Los Angeles
Isiah Thomas,American,-1.0,Detroit Pistons,Detroit
Dan Anderson,American,,Portland Trail Blazers,Portland
Dwayne Schintzius,American,43.0,San Antonio Spurs,San Antonio
Tim Duncan,American,-1.0,San Antonio Spurs,San Antonio
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Kevin Durant,American,35.0,Phoenix Suns,"Phoenix, Arizona"
Lamar Brandon Stevens,American,,Memphis Grizzlies,"Memphis, Tennessee"
Jabari Walker,American,,Portland Trail Blazers,Portland
Greg Fillmore,,-1.0,New York Knicks,
John Lucas II,American,-1.0,Houston Rockets,Houston
Dennis Schröder,German,30.0,Brooklyn Nets,
Eric Johnson Jones,American-Spanish,,Utah Jazz,Salt Lake City
Trayce Jackson-Davis,American,23.0,Golden State Warriors,
Andre Drummond,American,31.0,Philadelphia 76ers,Philadelphia
Buddy Hield,Bahamian,32.0,Golden State Warriors,
D'Angelo Russell,American,28.0,Los Angeles Lakers,Los Angeles
Joel Embiid,Cameroonian-American,29.0,Philadelphia 76ers,Philadelphia
Paul George,American,-1.0,Philadelphia 76ers,Philadelphia
Kyrie Irving,,32.0,Dallas Mavericks,Dallas
Jayson Tatum,American,26.0,Boston Celtics,
Caleb Martin,American,28.0,Philadelphia 76ers,Philadelphia
Andrew Wiggins,Canadian,-1.0,Golden State Warriors,
Max Fiedler,American,23.0,Philadelphia 76ers,Philadelphia
OG Anunoby,British,26.0,New York Knicks,
Jaylen Brown,American,-1.0,Boston Celtics,
Victor Wembanyama,French,20.0,San Antonio Spurs,San Antonio
Jrue Holiday,American,-1.0,Boston Celtics,
Austin Reaves,American,25.0,Los Angeles Lakers,Los Angeles
Kevin Love,American,35.0,Miami Heat,Miami
Giannis Antetokounmpo,,30.0,Milwaukee Bucks,Milwaukee
Al Horford,,-1.0,Boston Celtics,
Tyler Herro,American,24.0,Miami Heat,Miami
Duncan Robinson,,30.0,Miami Heat,Miami
Kyle Anderson,American-Chinese,-1.0,Golden State Warriors,
Cade Cunningham,American,,Detroit Pistons,Detroit
LeBron James,,38.0,Los Angeles Lakers,Los Angeles
Jimmy Butler,American,34.0,Miami Heat,Miami
Kevon Looney,American,27.0,Golden State Warriors,
Zach LaVine,American,30.0,Chicago Bulls,Chicago
Jaden Ivey,American,21.0,Detroit Pistons,Detroit
Kyle Lowry,American,37.0,Philadelphia 76ers,Philadelphia
Devin Booker,,27.0,Phoenix Suns,"Phoenix, Arizona"
Draymond Green,American,34.0,Golden State Warriors,
Zach Collins,American,26.0,San Antonio Spurs,San Antonio
Jonathan Kuminga,Congolese,-1.0,Golden State Warriors,
Lonzo Ball,American,26.0,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,22.0,Miami Heat,Miami
Ausar Thompson,American,20.0,Detroit Pistons,Detroit
Jalen Brunson,American,27.0,New York Knicks,
Chris Paul,American,-1.0,San Antonio Spurs,San Antonio
Harrison Barnes,American,,San Antonio Spurs,San Antonio
Bam Adebayo,American,26.0,Miami Heat,Miami
