name,position,team_name,founded_year
Drew Gordon,power forward,Philadelphia 76ers,1946
Dwayne Schintzius,center,San Antonio Spurs,1973
Kevin Durant,,Phoenix Suns,1968
Dennis Schröder,,Brooklyn Nets,1967
Andre Drummond,Center,Philadelphia 76ers,1946
Buddy Hield,,Golden State Warriors,1946
D'Angelo Russell,Point Guard,Los Angeles Lakers,1946
Joel Embiid,,Philadelphia 76ers,1946
Kyrie Irving,,Dallas Mavericks,1980
Jayson Tatum,forward,Boston Celtics,1946
Caleb Martin,small forward,Philadelphia 76ers,1946
OG Anunoby,,New York Knicks,1946
Kevin Love,,Miami Heat,1988
Giannis Antetokounmpo,forward,Milwaukee Bucks,1968
Duncan Robinson,,Miami Heat,1988
LeBron James,Forward,Los Angeles Lakers,1946
Jimmy Butler,,Miami Heat,1988
Kevon Looney,Power forward/Centers,Golden State Warriors,1946
Zach LaVine,,Chicago Bulls,1966
Kyle Lowry,Point Guard,Philadelphia 76ers,1946
Devin Booker,shooting guard,Phoenix Suns,1968
Draymond Green,Power forward,Golden State Warriors,1946
Zach Collins,,San Antonio Spurs,1973
Lonzo Ball,Point guard,Chicago Bulls,1966
Jalen Brunson,Point Guard,New York Knicks,1946
Bam Adebayo,,Miami Heat,1988
