city_name,state_name,team_name,name
Cleveland,Ohio,Cleveland Cavaliers,Mark Price
Los Angeles,California,Los Angeles Lakers,Anthony Davis
Philadelphia,Pennsylvania,Philadelphia 76ers,Drew Gordon
Detroit,Michigan,Detroit Pistons,Jarrett Jack
Los Angeles,California,Los Angeles Lakers,Earvin Johnson
Detroit,Michigan,Detroit Pistons,Isiah Thomas
San Antonio,Texas,San Antonio Spurs,Tim Duncan
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
Houston,Texas,Houston Rockets,John Lucas II
Philadelphia,Pennsylvania,Philadelphia 76ers,Andre Drummond
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid
Philadelphia,Pennsylvania,Philadelphia 76ers,Paul George
Dallas,Texas,Dallas Mavericks,Kyrie Irving
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama
Los Angeles,California,Los Angeles Lakers,Austin Reaves
Miami,Florida,Miami Heat,Kevin Love
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo
Miami,Florida,Miami Heat,Tyler Herro
Miami,Florida,Miami Heat,Duncan Robinson
Los Angeles,California,Los Angeles Lakers,LeBron James
Miami,Florida,Miami Heat,Jimmy Butler
Chicago,Illinois,Chicago Bulls,Zach LaVine
Detroit,Michigan,Detroit Pistons,Jaden Ivey
Philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Lowry
San Antonio,Texas,San Antonio Spurs,Zach Collins
Chicago,Illinois,Chicago Bulls,Lonzo Ball
Miami,Florida,Miami Heat,Jaime Jaquez Jr.
Detroit,Michigan,Detroit Pistons,Ausar Thompson
San Antonio,Texas,San Antonio Spurs,Chris Paul
Miami,Florida,Miami Heat,Bam Adebayo
