name,draft_pick,college,team_name
Mark Price,25.0,Georgia Tech,Cleveland Cavaliers
William Derek Grimm,50.0,University of Missouri,Sacramento Kings
Anthony Davis,1.0,Kentucky,Los Angeles Lakers
Kenneth 'Apple' Green,11.0,Pan American University,New York Knicks
Don Anielak,26.0,"Southwest Missouri State University, Moberly Junior College",New York Knicks
Jarrett Jack,22.0,Georgia Tech,Detroit Pistons
Earvin Johnson,1.0,Michigan State University,Los Angeles Lakers
Isiah Thomas,2.0,Indiana University,Detroit Pistons
Dan Anderson,2.0,,Portland Trail Blazers
Dwayne Schintzius,24.0,University of Florida,San Antonio Spurs
Tim Duncan,1.0,Wake Forest University,San Antonio Spurs
Anthony Edwards,1.0,Georgia,Minnesota Timberwolves
Kevin Durant,2.0,University of Texas at Austin,Phoenix Suns
Jabari Walker,57.0,Colorado Buffaloes,Portland Trail Blazers
John Lucas II,1.0,University of Maryland,Houston Rockets
Dennis Schröder,17.0,,Brooklyn Nets
Trayce Jackson-Davis,57.0,Indiana,Golden State Warriors
Andre Drummond,9.0,Connecticut Huskies,Philadelphia 76ers
Buddy Hield,6.0,"Oklahoma Sooners, Sunrise Christian Academy",Golden State Warriors
D'Angelo Russell,2.0,Ohio State Buckeyes,Los Angeles Lakers
Joel Embiid,3.0,Kansas,Philadelphia 76ers
Paul George,10.0,Fresno State,Philadelphia 76ers
Kyrie Irving,1.0,Duke University,Dallas Mavericks
Jayson Tatum,3.0,Duke,Boston Celtics
Andrew Wiggins,1.0,Kansas,Golden State Warriors
OG Anunoby,23.0,Indiana University,New York Knicks
Jaylen Brown,3.0,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1.0,,San Antonio Spurs
Jrue Holiday,17.0,UCLA,Boston Celtics
Austin Reaves,42.0,"Wichita State, Oklahoma",Los Angeles Lakers
Kevin Love,5.0,UCLA,Miami Heat
Giannis Antetokounmpo,15.0,,Milwaukee Bucks
Al Horford,3.0,Florida,Boston Celtics
Tyler Herro,13.0,University of Kentucky,Miami Heat
Kyle Anderson,30.0,UCLA,Golden State Warriors
Cade Cunningham,1.0,Oklahoma State,Detroit Pistons
LeBron James,1.0,Saint Vincent–St. Mary High School,Los Angeles Lakers
Jimmy Butler,30.0,Marquette University,Miami Heat
Kevon Looney,30.0,UCLA,Golden State Warriors
Zach LaVine,13.0,UCLA,Chicago Bulls
Jaden Ivey,5.0,Purdue,Detroit Pistons
Kyle Lowry,24.0,Villanova,Philadelphia 76ers
Devin Booker,13.0,Kentucky,Phoenix Suns
Draymond Green,35.0,Michigan State,Golden State Warriors
Zach Collins,10.0,Gonzaga,San Antonio Spurs
Jonathan Kuminga,7.0,,Golden State Warriors
Lonzo Ball,2.0,UCLA,Chicago Bulls
Jaime Jaquez Jr.,18.0,UCLA,Miami Heat
Ausar Thompson,5.0,,Detroit Pistons
Jalen Brunson,33.0,Villanova University,New York Knicks
Chris Paul,4.0,Wake Forest University,San Antonio Spurs
Harrison Barnes,7.0,North Carolina Tar Heels,San Antonio Spurs
Bam Adebayo,14.0,Kentucky,Miami Heat
