name,college,team_name,gdp
Mark Price,Georgia Tech,Cleveland Cavaliers,13830000000.0
Anthony Davis,Kentucky,Los Angeles Lakers,1000000000.0
Jarrett Jack,Georgia Tech,Detroit Pistons,
Earvin Johnson,Michigan State University,Los Angeles Lakers,1000000000.0
Isiah Thomas,Indiana University,Detroit Pistons,
Dan Anderson,,Portland Trail Blazers,
Dwayne Schintzius,University of Florida,San Antonio Spurs,
Tim Duncan,Wake Forest University,San Antonio Spurs,
Anthony Edwards,Georgia,Minnesota Timberwolves,-1.0
Jabari Walker,Colorado Buffaloes,Portland Trail Blazers,
John Lucas II,University of Maryland,Houston Rockets,-1.0
Andre Drummond,Connecticut Huskies,Philadelphia 76ers,47900000000.0
D'Angelo Russell,Ohio State Buckeyes,Los Angeles Lakers,1000000000.0
Joel Embiid,Kansas,Philadelphia 76ers,47900000000.0
Paul George,Fresno State,Philadelphia 76ers,47900000000.0
Kyrie Irving,Duke University,Dallas Mavericks,
Victor Wembanyama,,San Antonio Spurs,
Austin Reaves,"Wichita State, Oklahoma",Los Angeles Lakers,1000000000.0
Kevin Love,UCLA,Miami Heat,-1.0
Giannis Antetokounmpo,,Milwaukee Bucks,10200000000.0
Tyler Herro,University of Kentucky,Miami Heat,-1.0
Cade Cunningham,Oklahoma State,Detroit Pistons,
LeBron James,Saint Vincent–St. Mary High School,Los Angeles Lakers,1000000000.0
Jimmy Butler,Marquette University,Miami Heat,-1.0
Zach LaVine,UCLA,Chicago Bulls,
Jaden Ivey,Purdue,Detroit Pistons,
Kyle Lowry,Villanova,Philadelphia 76ers,47900000000.0
Zach Collins,Gonzaga,San Antonio Spurs,
Lonzo Ball,UCLA,Chicago Bulls,
Jaime Jaquez Jr.,UCLA,Miami Heat,-1.0
Ausar Thompson,,Detroit Pistons,
Chris Paul,Wake Forest University,San Antonio Spurs,
Harrison Barnes,North Carolina Tar Heels,San Antonio Spurs,
Bam Adebayo,Kentucky,Miami Heat,-1.0
