name,position,city_name,population
Mark Price,Point guard,Cleveland,372624.0
Anthony Davis,,Los Angeles,3792621.0
Drew Gordon,power forward,Philadelphia,1603797.0
Jarrett Jack,point guard,Detroit,639111.0
Earvin Johnson,point guard,Los Angeles,3792621.0
Isiah Thomas,,Detroit,639111.0
Tim Duncan,power forward,San Antonio,
Anthony Edwards,shooting guard,Minneapolis,429954.0
John Lucas II,,Houston,2304580.0
Andre Drummond,Center,Philadelphia,1603797.0
D'Angelo Russell,Point Guard,Los Angeles,3792621.0
Joel Embiid,,Philadelphia,1603797.0
Paul George,Small forward,Philadelphia,1603797.0
Kyrie Irving,,Dallas,
Caleb Martin,small forward,Philadelphia,1603797.0
Max Fiedler,,Philadelphia,1603797.0
Victor Wembanyama,,San Antonio,
Austin Reaves,,Los Angeles,3792621.0
Giannis Antetokounmpo,forward,Milwaukee,577222.0
Tyler Herro,Shooting Guard,Miami,442241.0
Duncan Robinson,,Miami,442241.0
Jimmy Butler,,Miami,442241.0
Zach LaVine,,Chicago,
Jaden Ivey,,Detroit,639111.0
Zach Collins,,San Antonio,
Lonzo Ball,Point guard,Chicago,
Jaime Jaquez Jr.,,Miami,442241.0
Ausar Thompson,,Detroit,639111.0
Chris Paul,Point Guard,San Antonio,
Bam Adebayo,,Miami,442241.0
