city_name,state_name,team_name,name,college
Philadelphia,Pennsylvania,Philadelphia 76ers,Drew Gordon,"UCLA, New Mexico"
San Antonio,Texas,San Antonio Spurs,Dwayne Schintzius,University of Florida
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia
Philadelphia,Pennsylvania,Philadelphia 76ers,Andre Drummond,Connecticut Huskies
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,Kansas
Dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke University
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State, Nevada"
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,Rice
Los Angeles,California,Los Angeles Lakers,Austin Reaves,"Wichita State, Oklahoma"
Miami,Florida,Miami Heat,Kevin Love,UCLA
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,
Miami,Florida,Miami Heat,Tyler Herro,University of Kentucky
Miami,Florida,Miami Heat,Duncan Robinson,"Williams College, Michigan"
Los Angeles,California,Los Angeles Lakers,LeBron James,Saint Vincent–St. Mary High School
Miami,Florida,Miami Heat,Jimmy Butler,Marquette University
Chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA
Detroit,Michigan,Detroit Pistons,Jaden Ivey,Purdue
Philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Lowry,Villanova
San Antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga
Chicago,Illinois,Chicago Bulls,Lonzo Ball,UCLA
Miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA
Miami,Florida,Miami Heat,Bam Adebayo,Kentucky
