city_name,state_name,team_name,name
Dallas,Texas,Dallas Mavericks,Kyrie Irving
Boston,Massachusetts,Boston Celtics,Jayson Tatum
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins
New York City,New York,New York Knicks,"OG Anunoby Ogugua ""OG"" Anunoby Jr."
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama
Boston,Massachusetts,Boston Celtics,Jrue Holiday
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo
San Francisco,California,Golden State Warriors,Stephen Curry
Boston,Massachusetts,Boston Celtics,Al Horford
Miami,Florida,Miami Heat,Tyler Herro
Miami,Florida,Miami Heat,Duncan McBryde Robinson
Miami,Florida,Miami Heat,Jimmy Butler III
Chicago,Illinois,Chicago Bulls,Zach LaVine
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker
San Francisco,California,Golden State Warriors,Draymond Jamal Green
San Francisco,California,Golden State Warriors,Jonathan Kuminga
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
Miami,Florida,Miami Heat,Jaime Jaquez Jr.
New York City,New York,New York Knicks,Jalen Marquis Brunson
Orlando,Florida,Orlando Magic,Shaquille Rashaun O'Neal
San Antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
Miami,Florida,Miami Heat,"Bam Adebayo Edrice Femi ""Bam"" Adebayo"
San Antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
Phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant
Miami,Florida,Miami Heat,Steven Delano Smith
Boston,Massachusetts,Boston Celtics,Lamar Brandon Stevens
Portland,Oregon,Portland Trail Blazers,Jabari Dominic Walker
New York City,New York,New York Knicks,Jamal Crawford Aaron Jamal Crawford
Toronto,Ontario,Toronto Raptors,Dennis Schröder
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis
