name,birth_date,team_name,area
Daniel Edward Anderson,1951/1/1,Portland Trail Blazers,375.78
Jabari Dominic Walker,2002/7/30,Portland Trail Blazers,375.78
Andrew Christian Wiggins,1995/2/23,Golden State Warriors,46.9
Draymond Jamal Green,1990/3/4,Golden State Warriors,46.9
Jonathan Kuminga,2002/10/6,Golden State Warriors,46.9
Kevon Looney Kevon Grant Looney,1996/2/6,Golden State Warriors,46.9
Kyle Anderson (basketball),1993/9/20,Golden State Warriors,46.9
Stephen Curry,1988/3/14,Golden State Warriors,46.9
Trayce Jackson-Davis,2000/2/22,Golden State Warriors,46.9
Aaron Williams,1971/10/2,Utah Jazz,14.2
Dennis Schröder,1993/9/15,Toronto Raptors,630
Devin Armani Booker,1996/10/30,Phoenix Suns,1341
Kevin Durant Kevin Wayne Durant,1988/9/29,Phoenix Suns,1341
William Bedford,1963/12/14,Phoenix Suns,1341
Al Horford,1986/6/3,Boston Celtics,125
Jaylen Marselles Brown,1996/10/24,Boston Celtics,125
Jayson Tatum,1998/3/3,Boston Celtics,125
Jrue Holiday,1990/6/12,Boston Celtics,125
Lamar Brandon Stevens,1997/7/9,Boston Celtics,125
Carrick Felix,1990/8/17,Cleveland Cavaliers,82.47
"Dewayne ""D. J."" White, Jr.",1986/8/31,Cleveland Cavaliers,82.47
Mark Price William Mark Price,1964/2/15,Cleveland Cavaliers,82.47
Vernon Maxwell,1965/9/12,Houston Rockets,637.4
Donald Robert Anielak,1930/11/1,New York Knicks,300.46
Greg Fillmore,1947/3/7,New York Knicks,300.46
Harry Gallatin Harry Junior,1927/4/26,New York Knicks,300.46
Jalen Marquis Brunson,1996/8/31,New York Knicks,300.46
Jamal Crawford Aaron Jamal Crawford,1980/3/20,New York Knicks,300.46
Jarrett Matthew Jack,1983/10/28,New York Knicks,300.46
Kelvin Trent Tucker,1959/12/20,New York Knicks,300.46
"Kenneth ""Apple"" Green",1959/9/19,New York Knicks,300.46
Kurt Vincent Thomas,1972/10/4,New York Knicks,300.46
"OG Anunoby Ogugua ""OG"" Anunoby Jr.",1997/7/17,New York Knicks,300.46
Rod Strickland,1966/7/11,New York Knicks,300.46
Anthony Avent,1969/10/18,Milwaukee Bucks,250.71
Giannis Antetokounmpo,1994/12/6,Milwaukee Bucks,250.71
Darnell Hillman,1949/8/29,Indiana Pacers,368
Rik Smits,1966/8/23,Indiana Pacers,368
Kyrie Irving,1992/3/23,Dallas Mavericks,385.8
Christopher Emmanuel Paul,1985/5/6,San Antonio Spurs,1205.4
Harrison Bryce Jordan Barnes,1992/5/30,San Antonio Spurs,1205.4
Timothy Theodore Duncan,1976/4/25,San Antonio Spurs,1205.4
Victor Wembanyama,2004/1/4,San Antonio Spurs,1205.4
Zach Collins,1997/11/19,San Antonio Spurs,1205.4
Anthony Edwards,1999/8/5,Minnesota Timberwolves,152.8
