name,position,team_name,founded_year
Buddy Hield Chavano Rainer,Guard,Philadelphia 76ers,1946
Joel Hans Embiid,Frontcourt,Philadelphia 76ers,1946
Kyrie Irving,Backcourt,Dallas Mavericks,1980
Jayson Tatum,Frontcourt,Boston Celtics,1946
Caleb Martin,small forward,Philadelphia 76ers,1946
Andrew Christian Wiggins,Frontcourt,Golden State Warriors,1946
"OG Anunoby Ogugua ""OG"" Anunoby Jr.",Frontcourt,New York Knicks,1946
Jaylen Marselles Brown,"Shooting Guard, Small Forward",Boston Celtics,1946
Jrue Holiday,Backcourt,Boston Celtics,1946
Austin Tyler Reaves,Backcourt,Los Angeles Lakers,1946
Giannis Antetokounmpo,forward and sometimes described as a point forward,Milwaukee Bucks,1968
Stephen Curry,Point guard,Golden State Warriors,1946
Al Horford,Frontcourt,Boston Celtics,1946
Duncan McBryde Robinson,Backcourt,Miami Heat,1988
Anthony Marshon Davis Jr.,power forward and center,Los Angeles Lakers,1946
LeBron Raymone James Sr.,Frontcourt,Los Angeles Lakers,1946
Jimmy Butler III,Backcourt,Miami Heat,1988
Zach LaVine,Backcourt,Chicago Bulls,1966
Kyle Lowry,Backcourt,Philadelphia 76ers,1946
Devin Armani Booker,Backcourt,Phoenix Suns,1968
Draymond Jamal Green,power forward,Golden State Warriors,1946
Lonzo Anderson Ball,point guard,Chicago Bulls,1966
Jalen Marquis Brunson,Point Guard,New York Knicks,1946
Shaquille Rashaun O'Neal,Center,Orlando Magic,1989
Kobe Bean Bryant,Shooting guard,Los Angeles Lakers,1946
Christopher Emmanuel Paul,Point Guard,San Antonio Spurs,1967
Harrison Bryce Jordan Barnes,Backcourt,San Antonio Spurs,1967
"Bam Adebayo Edrice Femi ""Bam"" Adebayo",Frontcourt,Miami Heat,1988
Anthony Avent,,Milwaukee Bucks,1968
Jarrett Matthew Jack,Backcourt,New York Knicks,1946
"Earvin ""Magic"" Johnson Jr.",Point Guard,Los Angeles Lakers,1946
Jahlil Okafor,Frontcourt,Philadelphia 76ers,1946
Timothy Theodore Duncan,power forward,San Antonio Spurs,1967
Darnell Hillman,Forward,Indiana Pacers,1967
Kevin Durant Kevin Wayne Durant,Small Forward,Phoenix Suns,1968
Aaron Williams,power forward and center,Utah Jazz,1974
Steven Delano Smith,Backcourt,Miami Heat,1988
Lamar Brandon Stevens,Frontcourt,Boston Celtics,1946
Kermit Alan Washington,Big defensive forward,Los Angeles Lakers,1946
Dennis Schröder,Backcourt,Toronto Raptors,1995
Andre Drummond,Center,Philadelphia 76ers,1946
