nba_team,name,own_year
Detroit Pistons,Tom Gores,2011.0
Cleveland Cavaliers,Daniel Gilbert,
Los Angeles Clippers,Steven Anthony Ballmer,
Orlando Magic,Daniel G. DeVos,1991.0
Dallas Mavericks,Mark Cuban,2000.0
Houston Rockets,Tilman Joseph Fertitta,2017.0
Brooklyn Nets,Joseph Chung-Hsin Tsai,2019.0
Oklahoma City Thunder,Clay Bennett,2006.0
Indiana Pacers,Herbert Simon,1983.0
Chicago Bulls,Jerry Michael Reinsdorf,1985.0
New Orleans Pelicans,Gayle Marie LaJaunie Bird Benson,2018.0
Denver Nuggets,Enos Stanley Kroenke,
Philadelphia 76ers,Joshua Jordan Harris,2011.0
New York Knicks,James Lawrence Dolan,
Miami Heat,Micky Arison,1995.0
Golden State Warriors,Joseph Steven Lacob,2010.0
