name,position,team_name,founded_year,id,player.id,team.id
andre jamal drummond,Center,Philadelphia 76ers,1946,,,
andrew christian wiggins,Backcourt,Golden State Warriors,1946,,,
anthony marshon davis,power forward,Los Angeles Lakers,1947,,,
austin tyler reaves,,Los Angeles Lakers,1947,,,
brandan keith wright,Backcourt,Golden State Warriors,1946,,,
caleb martin,Small forward,Miami Heat,1988,,,
"chavano rainer ""buddy"" hield",Backcourt,Golden State Warriors,1946,,,
christopher emmanuel paul,Point Guard,San Antonio Spurs,1967,,,
d'angelo russell,Backcourt,Los Angeles Lakers,1947,,,
darnell hillman,Forward,Indiana Pacers,1967,,,
devin armani booker,Backcourt,Phoenix Suns,1968,,,
draymond jamal green,Frontcourt,Golden State Warriors,1946,,,
duncan mcbryde robinson,Backcourt,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami Heat,1988,,,
giannis sina ugo antetokounmpo,Power Forward,Milwaukee Bucks,1968,,,
harrison bryce jordan barnes,,San Antonio Spurs,1967,,,
jalen marquis brunson,Backcourt,New York Knicks,1946,,,
jaylen marselles brown,Backcourt,Boston Celtics,1946,,,
jayson christopher tatum,Forward,Boston Celtics,1946,,,
jimmy butler,Backcourt,Miami Heat,1988,,,
joel hans embiid,Center,Philadelphia 76ers,1946,,,
jrue randall holiday,Backcourt,Boston Celtics,1946,,,
"kenneth ""apple"" green",,New York Knicks,1946,,,
kermit washington,Frontcourt,Los Angeles Lakers,1947,,,
kevin wayne durant,Small Forward,Phoenix Suns,1968,,,
kevin wesley love,Frontcourt,Miami Heat,1988,,,
kevon grant looney,Power Forward,Golden State Warriors,1946,,,
kobe bean bryant,Backcourt,Los Angeles Lakers,1947,,,
kurt thomas,Power forward-center,Chicago Bulls,1966,,,
kyle forman anderson,Forward,Memphis Grizzlies,1995,,,
kyrie andrew irving,,Dallas Mavericks,1980,,,
lebron raymone james,small forward and power forward,Los Angeles Lakers,1947,,,
lonzo anderson ball,Backcourt,Chicago Bulls,1966,,,
rik smits,Center,Indiana Pacers,1967,,,
wardell stephen curry,Point Guard,Golden State Warriors,1946,,,
zach collins,Frontcourt,San Antonio Spurs,1967,,,
zachary thomas lavine,Backcourt,Chicago Bulls,1966,,,
