university_name,setting,total_undergraduate_enrollment,file
Jamestown College,urban,1010,0173.txt
Briar Cliff University,urban,"1,079",0588.txt
Mount St. Vincent College,urban,1555,0943.txt
Santa Fe University of Art and Design,urban,195,0467.txt
Hamline University,urban,1921,0126.txt
Barnard College,urban,NAN,0046.txt
Barton College,urban,1150,0047.txt
Oklahoma Baptist University,urban,"1,714",0384.txt
Macalester College,urban,NAN,0232.txt
Columbia College SC,urban,"1,189",0962.txt
Virginia Union University,urban,1307,0803.txt
