university_name,setting,total_undergraduate_enrollment,file
Knox College,urban,1470,0193.txt
Barton College,urban,1150,0047.txt
Macalester College,urban,1996,0232.txt
Columbia College SC,urban,1189,0962.txt
Oklahoma Baptist University,urban,1714,0384.txt
Santa Fe University of Art and Design,urban,195,0467.txt
Briar Cliff University,urban,1079,0588.txt
Jamestown College,urban,1010,0173.txt
Converse College,urban,729,0975.txt
Hamline University,urban,1921,0126.txt
Lawrence University,urban,1495,0204.txt
College of Mount St. Vincent,urban,1555,0943.txt
