name,team,position,file
David Michineau,Bursaspor Basketbol,guard,David_Michineau.txt
Anthony Edwards,Minnesota Timberwolves,shooting guard,Anthony_Edwards.txt
Joseph Xavier Forte, Team Certified,guard,Joseph_Forte.txt
Jay Vincent,Los Angeles Lakers,forward,Jay_Vincent.txt
Mychel Thompson, Pepperdine University,guard,Mychel_Thompson .txt
Bill Hewitt,Los Angeles Lakers,forward,Bill_Hewitt.txt
Ronald Moore,Debreceni EAC,guard,Ronald_Moore.txt
Brandon Goodwin,Gigantes de Carolina,point guard,Brandon_Goodwin.txt
Hamidou Diallo,Capital City Go-Go,guard,Hamidou_Diallo.txt
Jarrett Matthew Jack,Detroit Pistons,assistant coach,Jarrett_Jack.txt
Carrick Felix, Cleveland Cavaliers,guard,Carrick_Felix.txt
