name,draft_pick,draft_year,file
Jay Vincent Jay Fletcher Vincent  ,24,1981,Jay_Vincent.txt
Nikola Radičević  ,57,2015,Nikola_Radi.txt
Anthony Marshon Davis Jr.,1,2012,Anthony_Davis.txt
Carrick Felix  ,33,2013,Carrick_Felix.txt
Mychel Thompson  ,10000,0,Mychel_Thompson .txt
Miles Julian Simon  ,10000,0,Miles_Simon.txt
Anthony Edwards,1,2020,Anthony_Edwards.txt
Nicholas William Calathes  ,35,2009,Nick_Calathes.txt
Ronald Moore  ,10000,0,Ronald_Moore.txt
Bill Hewitt  ,10000,0,Bill_Hewitt.txt
Joseph Xavier Forte  ,21,2001,Joseph_Forte.txt
Brandon Goodwin  ,10000,0,Brandon_Goodwin.txt
