id,Name,Style,Object,Color,Tone,Composition,Image_Genre
1.0,Nicolas Carone,Abstract Expressionism,Undefined Forms,Earth Tones,Neutral,Asymmetrical,Abstract
2.0,Agustín Cárdenas Alfonso,Surrealism,Geometric Forms,White,Neutral,Asymmetrical,Sculpture
3.0,Twins Seven Seven,Naïve Art (Primitivism),"Human Figures, Animals",Earth Tones,Warm,"Dynamic, Crowded",Figurative
4.0,Zao Wou-Ki,Art Informel,,Red,Warm,Asymmetrical,
5.0,Lidia Elena Prati,Concretism,Geometric Shapes,Red And White,Neutral,Asymmetrical With Angular Shapes,Geometric
6.0,Alexander Bogen,Abstract Expressionism,Geometric Shapes,Blue,Dark,Asymmetrical,
7.0,Jorge R. Camacho Lazo,Surrealism,"Human-Like Figure, Abstract Shapes",Gray,Neutral,Centralized Composition,Figurative
8.0,Emma Amos,Feminist Art,"Reclining Figure, Abstract Shapes",Multicolored,Bright,Collage-Like,Portrait
9.0,Gunther Gerzso,Hard Edge Painting,Shapes Resembling Land And Sky,Green,Neutral,Horizontal Layers,Landscape
10.0,Eduardo Chillida Juantegui,Abstract Art,Concrete Structure,Earthy Tones,Neutral,Geometric,Sculpture
11.0,Laurel Burch,,"Birds, Leaves",Vibrant Multicolors,Bright,"Patterned, Layered",Still Life
12.0,Christiaan Karel Appel,Art Informel,Human-Like Figures,Red,Dark,Asymmetrical,Figurative
13.0,Eduard Isabekyan,Symbolism,"Man, Dog, Mountains",Predominantly Earthy Tones,Neutral,Balanced With A Central Figure,Landscape
14.0,John Hoyland,Color Field Painting,Rectangular Shapes,Red,Bold,Minimalist,Abstract
15.0,Raoul De Keyser,Neo-Pop Art,Stairs,"Earth Tones, Muted Colors",Neutral,Central Focus,Still Life
16.0,Esteban Vicente Pérez,Color Field Painting,,Red,Bright,Color Field,Abstract
17.0,Manuel Felguérez Barra,Abstract Art,Abstract Forms,"Earth Tones, Predominantly Brown And Orange",Dark,"Organic, Fluid Shapes",
18.0,Neil Gavin Welliver,Contemporary Realism,"Rocks, River, Trees",Green,Bright,Naturalistic,Landscape
19.0,Eyvind Earle,Magic Realism,"Tree, Hills",Green,Dark,Vertical Emphasis,Landscape
20.0,Howard Finster,Art Brut,"Buildings, Text",Blue,Neutral,Narrative With Dense Text,Landscape
21.0,Patrick Procktor,Pop Art,Seated Person,Muted Tones,Neutral,Centralized,Portrait
22.0,Mary Fedden,Naïve Art (Primitivism),"Fruits, Bowl",Red,Bright,Centralized,Still Life
23.0,Ronald Brooks Kitaj,Pop Art,"People, Interior",Various Bright Colors,Vibrant,"Dynamic, Crowded",Genre Painting
24.0,Louise Joséphine Bourgeois,Surrealism,Human Figure With A Building As A Head,"Earth Tones (Brown, Beige, And Muted Red)",Neutral,Vertical Composition With Central Focus,Figurative
25.0,Avigdor Arikha,Contemporary Realism,Oranges,Orange,Neutral,Minimalist,Still Life
26.0,Henry Pierre Villierme,Neo-Expressionism,"Trees, Fields",Green,Bright,"Asymmetrical, Horizontal Emphasis",Landscape
27.0,Jean René Bazaine,Art Informel,,Purple,Neutral,Dynamic,
28.0,Edward Clark,Abstract Expressionism,Brushstrokes,Red,Neutral,Horizontal Brushstrokes,Abstract
29.0,Patrick Joseph Caulfield,Pop Art,Figures In Traditional Attire,Black,Dark,Central Figure With Background Elements,Portrait
30.0,Maqbool Fida Husain,Cubism,"Person, Bird",Blue,Dark,Asymmetrical,Portrait
31.0,Lonny Wood,Street art,Text,Pink,Bright,Centralized Lettering,
32.0,Leonora Carrington,Surrealism,Mythical Creatures,Earth Tones,Warm,Circular,Abstract
33.0,Nassos Daphnis,Hard Edge Painting,Concentric Ovals,Red,Bright,Symmetrical,Abstract
34.0,Frank Jeffrey Edson Smart,Hyper-Realism,"Truck, Road",Blue,Neutral,Curved Perspective,Landscape
