name,birth_date,team_name,area
Jay Vincent Jay Fletcher Vincent,1959/6/10,Los Angeles Lakers,1210.0
Erick Strickland,1973/11/25,Milwaukee Bucks,250.71
Derek Grimm,1974/8/3,Sacramento Kings,259.0
Anthony Marshon Davis Jr.,1993/3/11,Los Angeles Lakers,1210.0
Brandan Keith Wright,1987/10/5,Houston Rockets,1651.0
"Kenneth ""Apple"" Green",1959/9/19,New York Knicks,778.2
Don Anielak,1930/11/1,New York Knicks,778.2
Philip Douglas Jackson,1945/9/17,Los Angeles Lakers,1210.0
Jarrett Jack,1983/10/28,Detroit Pistons,370.03
Magic Johnson,1959/8/14,Los Angeles Lakers,1210.0
Stanley M. Noszka,1920/9/19,Boston Celtics,125.0
Isiah Thomas,1961/4/30,Detroit Pistons,370.03
Dan Anderson,1951/1/1,Portland Trail Blazers,375.78
Miles Julian Simon,1975/11/21,Phoenix Suns,1341.0
Guy William Rodgers,1935/9/1,Milwaukee Bucks,250.71
Vernon Maxwell,1965/9/12,Dallas Mavericks,999.3
Tim Duncan,1976/4/25,San Antonio Spurs,1205.4
Calvin Ramsey,1937/7/13,New York Knicks,778.2
Derrick Chievous,1967/7/3,Cleveland Cavaliers,213.6
Rik Smits,1966/8/23,Indiana Pacers,953.0
Anthony Edwards,2001/8/5,Minnesota Timberwolves,152.8
"Harry Junior ""The Horse"" Gallatin",1927/4/26,Detroit Pistons,370.03
Darnell Hillman,1949/8/29,Golden State Warriors,121.0
Kurt Thomas,1972/10/4,New York Knicks,778.2
Kevin Wayne Durant,1988/9/29,Phoenix Suns,1341.0
Aaron Williams,1971/10/2,Los Angeles Clippers,1210.0
Nathaniel Thomas Huffman,1975/4/2,Toronto Raptors,630.2
Rodney Strickland,1966/7/11,Houston Rockets,1651.0
Steve Kerr,1965/9/27,Golden State Warriors,121.0
Gregory Clinton Foster,1968/10/3,Indiana Pacers,953.0
Bill Hewitt,1944/8/8,Los Angeles Lakers,1210.0
Jabari Dominic Walker,2002/7/30,Portland Trail Blazers,375.78
Kermit Washington,1951/9/17,Golden State Warriors,121.0
Greg Fillmore Gregory Paul Fillmore,1947/3/7,New York Knicks,778.2
John Harding Lucas II,1953/10/31,Houston Rockets,1651.0
Garfield Smith,1945/11/18,Boston Celtics,125.0
"Monti Davis DaMon William ""Monti"" Davis",1958/7/26,Dallas Mavericks,999.3
Eric Johnson Jones,1966/2/7,Utah Jazz,286.0
Trayce Jackson-Davis,2000/2/22,Golden State Warriors,121.0
"Chavano Rainer ""Buddy"" Hield",1992/12/17,Golden State Warriors,121.0
D'Angelo Russell,1996/2/23,Los Angeles Lakers,1210.0
Kyrie Andrew Irving,1992/3/23,Dallas Mavericks,999.3
Jayson Christopher Tatum,1998/3/3,Boston Celtics,125.0
Andrew Christian Wiggins,1995/2/23,Golden State Warriors,121.0
"Ogugua ""OG"" Anunoby Jr.",1997/7/17,New York Knicks,778.2
Jaylen Marselles Brown,1996/10/24,Boston Celtics,125.0
Victor Wembanyama,2004/1/4,San Antonio Spurs,1205.4
Jrue Randall Holiday,1990/6/12,Boston Celtics,125.0
Austin Tyler Reaves,1998/5/29,Los Angeles Lakers,1210.0
Giannis Sina Ugo Antetokounmpo,1994/12/6,Milwaukee Bucks,250.71
Wardell Stephen Curry II,1988/3/14,Golden State Warriors,121.0
Alfred Joel Horford Reynoso,1986/6/3,Boston Celtics,125.0
Kyle Forman Anderson,1993/9/20,Golden State Warriors,121.0
Cade Parker Cunningham,2001/9/25,Detroit Pistons,370.03
LeBron Raymone James Sr.,1984/12/30,Los Angeles Lakers,1210.0
Kevon Grant Looney,1996/2/6,Golden State Warriors,121.0
Jaden Edward Dhananjay Ivey,2002/2/13,Detroit Pistons,370.03
Devin Armani Booker,1996/10/30,Phoenix Suns,1341.0
Draymond Jamal Green,1990/3/4,Golden State Warriors,121.0
Zach Collins,1997/11/19,San Antonio Spurs,1205.4
Jonathan Malangu Kuminga,2002/10/6,Golden State Warriors,121.0
Ausar XLNC Thompson,2003/1/30,Detroit Pistons,370.03
Jalen Marquis Brunson,1996/8/31,New York Knicks,778.2
Shaquille Rashaun O'Neal,1972/3/6,Boston Celtics,125.0
Kobe Bean Bryant,1978/8/23,Los Angeles Lakers,1210.0
Christopher Emmanuel Paul,1985/5/6,San Antonio Spurs,1205.4
Harrison Bryce Jordan Barnes,1992/5/30,San Antonio Spurs,1205.4
