name,birth_date,team_name,area
anthony marshon davis,1993/3/11,Los Angeles Lakers,1210.0
ausar xlnc thompson,2003/1/30,Detroit Pistons,370.03
austin tyler reaves,1998/5/29,Los Angeles Lakers,1210.0
cade parker cunningham,2001/9/25,Detroit Pistons,370.03
d'angelo russell,1996/2/23,Los Angeles Lakers,1210.0
isiah thomas,1961/4/30,Detroit Pistons,370.03
jaden edward dhananjay ivey,2002/2/13,Detroit Pistons,370.03
jarrett jack,1983/10/28,Detroit Pistons,370.03
john harding lucas,1953/10/31,Houston Rockets,1651.0
lebron raymone james,1984/12/30,Los Angeles Lakers,1210.0
