city_name,state_name,team_name,name,city.id,id,player.id,team.id
boston,Massachusetts,Boston Celtics,Jayson Tatum,,,,
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,,,,
boston,Massachusetts,Boston Celtics,Jrue Holiday,,,,
boston,Massachusetts,Boston Celtics,Al Horford,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,,,,
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,,,,
dallas,Texas,Dallas Mavericks,Kyrie Irving,,,,
miami,Florida,Miami Heat,Tyler Herro,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,,,,
miami,Florida,Miami Heat,Jimmy Butler III,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,,,,
miami,Florida,Miami Heat,"Bam Adebayo Edrice Femi ""Bam"" Adebayo",,,,
miami,Florida,Miami Heat,Steven Delano Smith,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,,,,
new york city,New York,New York Knicks,"OG Anunoby Ogugua ""OG"" Anunoby Jr.",,,,
new york city,New York,New York Knicks,Jalen Marquis Brunson,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,,,,
phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant,,,,
portland,Oregon,Portland Trail Blazers,Jabari Dominic Walker,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,,,,
san antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,,,,
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,,,,
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,,,,
san francisco,California,Golden State Warriors,Stephen Curry,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,,,,
san francisco,California,Golden State Warriors,Jonathan Kuminga,,,,
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,,,,
