name,birth_date,team_name,area
anthony marshon davis,1993/3/11,Los Angeles Lakers,1210.0
austin tyler reaves,1998/5/29,Los Angeles Lakers,1210.0
christopher emmanuel paul,1985/5/6,San Antonio Spurs,1205.4
d'angelo russell,1996/2/23,Los Angeles Lakers,1210.0
devin armani booker,1996/10/30,Phoenix Suns,1341.0
draymond jamal green,1990/3/4,Golden State Warriors,121.0
eric johnson jones,1966/2/7,Utah Jazz,286.0
harrison bryce jordan barnes,1992/5/30,San Antonio Spurs,1205.4
jaylen marselles brown,1996/10/24,Boston Celtics,125.0
jayson christopher tatum,1998/3/3,Boston Celtics,125.0
jonathan malangu kuminga,2002/10/6,Golden State Warriors,121.0
jrue randall holiday,1990/6/12,Boston Celtics,125.0
kermit washington,1951/9/17,Golden State Warriors,121.0
kobe bean bryant,1978/8/23,Los Angeles Lakers,1210.0
kyle forman anderson,1993/9/20,Golden State Warriors,121.0
rik smits,1966/8/23,Indiana Pacers,953.0
steve kerr,1965/9/27,Golden State Warriors,121.0
tim duncan,1976/4/25,San Antonio Spurs,1205.4
vernon maxwell,1965/9/12,Dallas Mavericks,999.3
wardell stephen curry,1988/3/14,Golden State Warriors,121.0
zach collins,1997/11/19,San Antonio Spurs,1205.4
