team,min_olympic_gold_medals
HTV Basket,0.0
New York Knicks,0.0
Virtus Bologna,0.0
Baltimore Bullets,0.0
Los Angeles Clippers,
Washington Bullets,0.0
Gigantes de Carolina,0.0
Lokomotiv Kuban,0.0
Milwaukee Hawks,0.0
Toronto Raptors,0.0
New Orleans Jazz,0.0
Bursaspor Basketbol,0.0
Philadelphia Warriors,1.0
Milwaukee Bucks,0.0
Senior Consultant to Hockey Operations for the St. Louis Blues,0.0
Chicago Stags,0.0
Utah Jazz,0.0
Sacramento Kings,0.0
Grand Rapids Hoops,0.0
Philadelphia 76ers,0.0
Memphis Grizzlies,0.0
Saski Baskonia,0.0
Boston Celtics,0.0
Phoenix Suns,0.0
Miami Heat,0.0
Rochester Royals,0.0
Guaros de Lara,0.0
Santa Cruz Warriors,0.0
Los Angeles Lakers,0.0
