mvp_awards,draft_pick,fiba_world_cup,name
0,3.0,0.0,alfred joel horford reynoso
0,1.0,0.0,andrew christian wiggins
0,15.0,0.0,anthony avent
0,1.0,0.0,anthony edwards
0,0.0,0.0,antonius cleveland
0,0.0,0.0,askia rahman jones
0,0.0,0.0,bill hewitt
0,8.0,0.0,brandan keith wright
0,0.0,0.0,brandon goodwin
0,0.0,0.0,caleb martin
0,13.0,0.0,calvin ramsey
0,33.0,0.0,carrick felix
0,6.0,0.0,"chavano rainer ""buddy"" hield"
0,2.0,0.0,d'angelo russell
0,2.0,0.0,dan anderson
0,10.0,0.0,david lattin
0,0.0,0.0,david michineau
0,0.0,0.0,derek grimm
0,16.0,0.0,derrick chievous
0,0.0,0.0,devontae cacok
0,29.0,0.0,"dewayne ""d j"" white"
0,1.0,0.0,dick rosenthal
0,0.0,0.0,dick surhoff
0,26.0,0.0,don anielak
0,0.0,0.0,donta hall
0,4.0,0.0,donyell marshall
0,0.0,0.0,drew edward gordon
0,24.0,0.0,dwayne kenneth schintzius
0,14.0,0.0,ed dahler edward dahler
0,35.0,0.0,elmer h behnke
0,2.0,0.0,erazem lorbek
0,0.0,0.0,eric johnson jones
0,0.0,0.0,erick strickland
0,0.0,0.0,fran curran francis hugh curran
0,5.0,0.0,fred boyd
0,10.0,0.0,garfield smith
0,0.0,0.0,garry witts garrett david witts
0,0.0,0.0,gene dyker eugene walter dyker
0,0.0,0.0,gerald madkins
2,15.0,0.0,giannis sina ugo antetokounmpo
0,8.0,0.0,greg fillmore gregory paul fillmore
0,35.0,0.0,gregory clinton foster
0,1.0,0.0,guy william rodgers
0,45.0,0.0,hamidou diallo
0,20.0,0.0,"harry junior ""the horse"" gallatin"
1,2.0,0.0,isiah thomas
0,57.0,0.0,jabari dominic walker
0,10.0,0.0,jack parr
0,8.0,0.0,jamal crawford
0,0.0,0.0,james patrick walsh
0,22.0,0.0,jarrett jack
0,24.0,0.0,jay vincent jay fletcher vincent
1,3.0,0.0,jaylen marselles brown
1,3.0,0.0,jayson christopher tatum
0,1.0,0.0,jim brasco
1,3.0,0.0,joel hans embiid
0,1.0,0.0,john harding lucas
0,27.0,0.0,jordan lee crawford
0,21.0,0.0,joseph xavier forte
1,17.0,0.0,jrue randall holiday
0,11.0,0.0,"kenneth ""apple"" green"
0,5.0,0.0,kermit washington
0,48.0,0.0,kostas papanikolaou
0,0.0,0.0,kurt thomas
0,30.0,0.0,kyle forman anderson
0,0.0,0.0,lamar brandon stevens
0,0.0,0.0,larry robinson
0,50.0,0.0,lavoy allen
0,1.0,0.0,leroy patrick chollet
3,1.0,0.0,magic johnson
0,53.0,0.0,mark jeffrey radford
0,0.0,0.0,"marvin ""mickey"" rottner"
0,45.0,0.0,marvin roberts
0,,0.0,max berning fiedler
0,11.0,0.0,michael carter-williams
0,0.0,0.0,miles julian simon
0,21.0,0.0,"monti davis damon william ""monti"" davis"
0,0.0,0.0,mychel thompson
0,35.0,0.0,nicholas william calathes
0,23.0,0.0,"ogugua ""og"" anunoby"
0,10.0,0.0,paul clifton anthony george
0,2.0,0.0,philip douglas jackson
0,0.0,0.0,rick hughes
0,169.0,0.0,rod derline
0,19.0,0.0,rodney strickland
0,,0.0,ronald moore
0,8.0,0.0,shawn christopher respert
0,0.0,0.0,sidney harold tanenbaum
0,0.0,0.0,stanley m noszka
2,1.0,0.0,tim duncan
0,0.0,0.0,toby kimball
0,44.0,0.0,tom copa
0,16.0,0.0,tony lorenzo delk
0,57.0,0.0,trayce jackson-davis
0,6.0,0.0,trent tucker
0,2.0,0.0,vernon maxwell
0,1.0,0.0,victor wembanyama
0,14.0,0.0,walter berry
0,8.0,0.0,wayne lavern robinson
0,6.0,0.0,william bedford
