name,team_name,city_name,state_name
Kyrie Irving,Dallas Mavericks,Dallas,Texas
Jayson Tatum,Boston Celtics,Boston,Massachusetts
Andrew Christian Wiggins,Golden State Warriors,San Francisco,California
"OG Anunoby Ogugua ""OG"" Anunoby Jr.",New York Knicks,New York City,New York
Jaylen Marselles Brown,Boston Celtics,Boston,Massachusetts
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Jrue Holiday,Boston Celtics,Boston,Massachusetts
Kevin Wesley Love,Miami Heat,Miami,Florida
Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Stephen Curry,Golden State Warriors,San Francisco,California
Al Horford,Boston Celtics,Boston,Massachusetts
Tyler Herro,Miami Heat,Miami,Florida
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Kyle Anderson (basketball),Golden State Warriors,San Francisco,California
Jimmy Butler III,Miami Heat,Miami,Florida
Kevon Looney Kevon Grant Looney,Golden State Warriors,San Francisco,California
Zach LaVine,Chicago Bulls,Chicago,Illinois
Michael Jeffrey Jordan,Chicago Bulls,Chicago,Illinois
Devin Armani Booker,Phoenix Suns,Phoenix,Arizona
Draymond Jamal Green,Golden State Warriors,San Francisco,California
Zach Collins,San Antonio Spurs,San Antonio,Texas
Jonathan Kuminga,Golden State Warriors,San Francisco,California
Lonzo Anderson Ball,Chicago Bulls,Chicago,Illinois
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Jalen Marquis Brunson,New York Knicks,New York City,New York
Shaquille Rashaun O'Neal,Orlando Magic,Orlando,Florida
Christopher Emmanuel Paul,San Antonio Spurs,San Antonio,Texas
Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,Texas
"Bam Adebayo Edrice Femi ""Bam"" Adebayo",Miami Heat,Miami,Florida
Carrick Felix,Cleveland Cavaliers,Cleveland,Ohio
"Kenneth ""Apple"" Green",New York Knicks,New York City,New York
Donald Robert Anielak,New York Knicks,New York City,New York
Anthony Avent,Milwaukee Bucks,Milwaukee,Wisconsin
Jarrett Matthew Jack,New York Knicks,New York City,New York
Daniel Edward Anderson,Portland Trail Blazers,Portland,Oregon
Kelvin Trent Tucker,New York Knicks,New York City,New York
Vernon Maxwell,Houston Rockets,Houston,Texas
Timothy Theodore Duncan,San Antonio Spurs,San Antonio,Texas
Rik Smits,Indiana Pacers,Indianapolis,Indiana
Anthony Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
Harry Gallatin Harry Junior,New York Knicks,New York City,New York
Darnell Hillman,Indiana Pacers,Indianapolis,Indiana
Mark Price William Mark Price,Cleveland Cavaliers,Cleveland,Ohio
Kurt Vincent Thomas,New York Knicks,New York City,New York
Kevin Durant Kevin Wayne Durant,Phoenix Suns,Phoenix,Arizona
Aaron Williams,Utah Jazz,Salt Lake City,Utah
William Bedford,Phoenix Suns,Phoenix,Arizona
Steven Delano Smith,Miami Heat,Miami,Florida
Rod Strickland,New York Knicks,New York City,New York
Lamar Brandon Stevens,Boston Celtics,Boston,Massachusetts
"Dewayne ""D. J."" White, Jr.",Cleveland Cavaliers,Cleveland,Ohio
,Chicago Bulls,Chicago,Illinois
Jabari Dominic Walker,Portland Trail Blazers,Portland,Oregon
Jamal Crawford Aaron Jamal Crawford,New York Knicks,New York City,New York
Greg Fillmore,New York Knicks,New York City,New York
Dennis Schröder,Toronto Raptors,Toronto,Ontario
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
