university_name,year_founded,setting,file
Knox College,1837,urban,0193.txt
Barton College,1902,urban,0047.txt
Macalester College,1874,urban,0232.txt
Columbia College SC,1854,urban,0962.txt
Oklahoma Baptist University,1910,urban,0384.txt
Santa Fe University of Art and Design,1874,urban,0467.txt
Briar Cliff University,1930,urban,0588.txt
Jamestown College,1884,urban,0173.txt
Converse College,1889,urban,0975.txt
Hamline University,1854,urban,0126.txt
Lawrence University,1847,urban,0204.txt
College of Mount St. Vincent,1847,urban,0943.txt
