court_name,hearing_year,legal_basis,file
Federal Court,2008,Australian Patent 774224 A barrier,09_57.txt
Federal Magistrates Court,2008,Migration Act 1958 (Cth),09_217.txt
Federal Court,2008,nan,08_1737.txt
Federal Court,2008,nan,08_1284.txt
Federal Court,2008,Federal Court Rules,08_783.txt
Federal Court of Australia,2008,Telecommunications Act 1997 (Cth),08_1530.txt
Federal Court of Australia,2008,"Judiciary Act 1903 (Cth), EPBC Act",08_1870.txt
Federal Court of Australia,2008,Trade Practices Act 1974 (Cth),08_1735.txt
Federal Magistrates Court,2008,Federal Court of Australia Act 1976 (Cth),08_1765.txt
Federal Court of Australia,2008,"Federal Court of Australia Act 1976 (Cth), Trade Practices Act 1974 (Cth), Corporations Act 2001 (Cth), Australian Securities and Investment Commission Act 2001 (Cth), Fair Trading Act 1992 (ACT), Fair Trading Act 1987 (NSW)",08_1112.txt
nan,2008,Administrative Decisions (Judicial Review) Act 1977 (Cth),08_1879.txt
Federal Court,2008,"Disability Discrimination Act 1992 (Cth), Racial Discrimination Act 1975 (Cth), Human Rights and Equal Opportunity Commission Act 1986 (Cth), tort of negligence",08_907.txt
Federal Court of Australia,2008,nan,08_1016.txt
Federal Court,2008,Corporations Act 2001 (Cth),08_1860.txt
Federal Magistrates Court,2008,nan,08_1408.txt
