name,team_name,city_name,state_name,city.id,id,player.id,team.id
aaron williams,Utah Jazz,Salt Lake City,Utah,,,,
andrew christian wiggins,Golden State Warriors,San Francisco,California,,,,
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota,,,,
anthony marshon davis,Lakers,Los Angeles,California,,,,
austin tyler reaves,Los Angeles Lakers,Los Angeles,California,,,,
brandan keith wright,Charlotte Bobcats,Charlotte,North Carolina,,,,
caleb martin,Miami Heat,Miami,Florida,,,,
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California,,,,
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas,,,,
d'angelo russell,Los Angeles Lakers,Los Angeles,California,,,,
darnell hillman,Golden State Warriors,San Francisco,California,,,,
derrick chievous,Houston Rockets,Houston,Texas,,,,
devin armani booker,Phoenix Suns,Phoenix,Arizona,,,,
draymond jamal green,Golden State Warriors,San Francisco,California,,,,
drew edward gordon,Dallas Mavericks,Dallas,Texas,,,,
duncan mcbryde robinson,Miami Heat,Miami,Florida,,,,
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida,,,,
eric johnson jones,Utah Jazz,Salt Lake City,Utah,,,,
erick strickland,Dallas Mavericks,Dallas,Texas,,,,
garfield smith,Boston Celtics,Boston,Massachusetts,,,,
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas,,,,
jaime jaquez,Miami Heat,Miami,Florida,,,,
jay vincent jay fletcher vincent,Dallas Mavericks,Dallas,Texas,,,,
jaylen marselles brown,Boston Celtics,Boston,Massachusetts,,,,
jayson christopher tatum,Boston Celtics,Boston,Massachusetts,,,,
jimmy butler,Miami Heat,Miami,Florida,,,,
joel hans embiid,76ers,Philadelphia,Pennsylvania,,,,
john harding lucas,Houston Rockets,Houston,Texas,,,,
jonathan malangu kuminga,Golden State Warriors,San Francisco,California,,,,
jrue randall holiday,Boston Celtics,Boston,Massachusetts,,,,
kermit washington,Los Angeles Lakers,Los Angeles,California,,,,
kevin wayne durant,Phoenix Suns,Phoenix,Arizona,,,,
kevin wesley love,Miami Heat,Miami,Florida,,,,
kevon grant looney,Golden State Warriors,San Francisco,California,,,,
kobe bean bryant,Los Angeles Lakers,Los Angeles,California,,,,
kurt thomas,Chicago Bulls,Chicago,Illinois,,,,
kyle forman anderson,Golden State Warriors,San Francisco,California,,,,
kyle terrell lowry,Charlotte Hornets,Charlotte,North Carolina,,,,
kyrie andrew irving,Dallas Mavericks,Dallas,Texas,,,,
lebron raymone james,Los Angeles Lakers,Los Angeles,California,,,,
lonzo anderson ball,New Orleans Pelicans,New Orleans,Louisiana,,,,
magic johnson,Los Angeles Lakers,Los Angeles,California,,,,
paul clifton anthony george,Indiana Pacers,Indianapolis,Indiana,,,,
rik smits,Indiana Pacers,Indianapolis,Indiana,,,,
shaquille rashaun o'neal,Orlando Magic,Orlando,Florida,,,,
tim duncan,San Antonio Spurs,San Antonio,Texas,,,,
trayce jackson-davis,Golden State Warriors,San Francisco,California,,,,
trent tucker,Chicago Bulls,Chicago,Illinois,,,,
tyler christopher herro,Miami Heat,Miami,Florida,,,,
vernon maxwell,Houston Rockets,Houston,Texas,,,,
victor wembanyama,San Antonio Spurs,San Antonio,Texas,,,,
wardell stephen curry,Golden State Warriors,San Francisco,California,,,,
zach collins,San Antonio Spurs,San Antonio,Texas,,,,
zachary thomas lavine,Chicago Bulls,Chicago,Illinois,,,,
