team_name,location,city_name,state_name
,San Francisco,San Francisco,California
Houston Rockets,Houston,Houston,Texas
,Indianapolis,Indianapolis,
Los Angeles Clippers,Los Angeles,Los Angeles,California
,Los Angeles,Los Angeles,California
Los Angeles Lakers,Los Angeles,Los Angeles,California
Memphis Grizzlies,Memphis,Memphis,Tennessee
,Miami,Miami,Florida
Miami Heat,Miami,Miami,Florida
,Minneapolis,Minneapolis,
,Boston,Boston,Massachusetts
,Orlando,Orlando,Florida
Orlando Magic,Orlando,Orlando,Florida
Philadelphia 76ers,Philadelphia,Philadelphia,Pennsylvania
,Phoenix,Phoenix,Arizona
Phoenix Suns,Phoenix,Phoenix,Arizona
,Portland,Portland,Oregon
,San Antonio,San Antonio,Texas
San Antonio Spurs,San Antonio,San Antonio,Texas
,Toronto,Toronto,Ontario
Toronto Raptors,Toronto,Toronto,Ontario
,Charlotte,Charlotte,North Carolina
Charlotte Hornets,Charlotte,Charlotte,North Carolina
,Chicago,Chicago,Illinois
Chicago Bulls,Chicago,Chicago,Illinois
Cleveland Cavaliers,Cleveland,Cleveland,Ohio
,Dallas,Dallas,
Dallas Mavericks,Dallas,Dallas,
,Denver,Denver,Colorado
Denver Nuggets,Denver,Denver,Colorado
Detroit Pistons,Detroit,Detroit,
San Antonio FC,San Antonio,San Antonio,Texas
Cleveland Pipers,Cleveland,Cleveland,Ohio
Cleveland Monsters,Cleveland,Cleveland,Ohio
Toronto Blue Jays,Toronto,Toronto,Ontario
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
New York Knicks,New York,New York,New York
Celtics,Boston,Boston,Massachusetts
Raptors,Toronto,Toronto,Ontario
White Sox,Chicago,Chicago,Illinois
Colorado Avalanche,Denver,Denver,Colorado
Oklahoma City Thunder,Oklahoma City,Oklahoma City,Oklahoma
New Orleans Hornets,Oklahoma City,Oklahoma City,Oklahoma
Pelicans,New Orleans,New Orleans,Louisiana
Bulls,Chicago,Chicago,Illinois
New Orleans Saints,New Orleans,New Orleans,Louisiana
Clippers,Los Angeles,Los Angeles,California
Lakers,Los Angeles,Los Angeles,California
Dodgers,Los Angeles,Los Angeles,California
New York Liberty,New York,New York,New York
Sacramento Kings,Sacramento,Sacramento,California
Hawks,Atlanta,Atlanta,Georgia
Mavericks,Dallas,Dallas,
Spurs,San Antonio,San Antonio,Texas
Magic,Orlando,Orlando,Florida
New Orleans Jazz,New Orleans,New Orleans,Louisiana
Wizards,Washington,Washington,
Trail Blazers,Portland,Portland,Oregon
Nuggets,Denver,Denver,Colorado
Cavaliers,Cleveland,Cleveland,Ohio
Blazers,Portland,Portland,Oregon
Rockets,Houston,Houston,Texas
Grizzlies,Memphis,Memphis,Tennessee
Bucks,Milwaukee,Milwaukee,Wisconsin
Washington Bullets,Washington,Washington,
Knickerbockers,New York,New York,New York
Knicks,New York,New York,New York
Pacers,Indianapolis,Indianapolis,
Kings,Sacramento,Sacramento,California
