name,position,team_name,founded_year
Paul Clifton Anthony George,,Philadelphia 76ers,
Kyrie Irving,Backcourt,Dallas Mavericks,
Caleb Martin,small forward,Philadelphia 76ers,
Andrew Christian Wiggins,,Golden State Warriors,
Jrue Randall Holiday,Backcourt,Boston Celtics,
Kevin Love,Backcourt,Miami Heat,
Al Horford,Frontcourt,Boston Celtics,
Duncan McBryde Robinson,Backcourt,Miami Heat,
Jimmy Butler,,Miami Heat,
Devin Armani Booker,Backcourt,Phoenix Suns,
Chris Paul,Backcourt,San Antonio Spurs,
Harrison Bryce Jordan Barnes,Backcourt,San Antonio Spurs,
Kurt Vincent Thomas,power forward-center,Miami Heat,
