name,nationality,age,team_name,location
Paul Clifton Anthony George,American,34.0,Philadelphia 76ers,
Kyrie Irving,American-Venezuelan  ,32.0,Dallas Mavericks,
Caleb Martin,,28.0,Philadelphia 76ers,
Andrew Christian Wiggins,Canadian,29.0,Golden State Warriors,
Max Fiedler,,23.0,Philadelphia 76ers,
Jaylen Marselles Brown,American,,Boston Celtics,
Victor Wembanyama,French,19.583333333333336,San Antonio Spurs,
Jrue Randall Holiday,American,34.0,Boston Celtics,
Kevin Love, ,35.0,Miami Heat,
Al Horford,Dominican-American,38.166666666666664,Boston Celtics,
Duncan McBryde Robinson,,30.0,Miami Heat,
Kyle Forman Anderson,,,Golden State Warriors,
Jimmy Butler,,34.0,Miami Heat,
Kevon Looney,,,Golden State Warriors,
Zach LaVine,American,,Chicago Bulls,
Kyle Lowry,American,,Philadelphia 76ers,
Devin Armani Booker,American-born naturalized Azerbaijani,27.3,Phoenix Suns,
Draymond Jamal Green,,,Golden State Warriors,
Jonathan Kuminga,Congolese,21.634,Golden State Warriors,
Chris Paul, ,39.6,San Antonio Spurs,
Harrison Bryce Jordan Barnes,American,32.0,San Antonio Spurs,
Earvin Johnson,,20.35,Los Angeles Lakers,
Isiah Thomas,,,Detroit Pistons,
Timothy Theodore Duncan,American,,San Antonio Spurs,
Rik Smits,Dutch,22.0,Indiana Pacers,
Anthony Edwards,American,23.0,Minnesota Timberwolves,
Kurt Vincent Thomas,,41.0,Miami Heat,
Jabari Dominic Walker,American,21.0,Portland Trail Blazers,
