name,college,team_name,gdp
Paul Clifton Anthony George,Fresno State,Philadelphia 76ers,
Paul Clifton Anthony George,Fresno State,Philadelphia 76ers,
Kyrie Irving,Duke University  ,Dallas Mavericks,
Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers,
Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers,
Victor Wembanyama,,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}"
Giannis Antetokounmpo,,Milwaukee Bucks,10200000000.0
Jimmy Butler,Marquette University,Miami Heat,$344.9 billion
Zach LaVine,UCLA Bruins,Chicago Bulls,689000000000.0
Kyle Lowry,Villanova Wildcats,Philadelphia 76ers,
Kyle Lowry,Villanova Wildcats,Philadelphia 76ers,
Devin Armani Booker,Kentucky Wildcats,Phoenix Suns,24275000000.0
Lonzo Ball,UCLA Bruins,Pelicans,
Jalen Marquis Brunson,Villanova University,New York Knicks,
Chris Paul,Wake Forest University,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}"
Harrison Bryce Jordan Barnes,University of North Carolina at Chapel Hill,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}"
Kenneth 'Apple' Green,,New York Knicks,
Earvin Johnson,,Los Angeles Lakers,1000000000.0
Isiah Thomas,Indiana University,Detroit Pistons,
Kelvin Trent Tucker,University of Minnesota,New York Knicks,
Timothy Theodore Duncan,Wake Forest University,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}"
Joel Embiid,,Philadelphia 76ers,
Joel Embiid,,Philadelphia 76ers,
Cade Cunningham,,Detroit Pistons,
Kyle Anderson,UCLA,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}"
Jayson Tatum,,Celtics,
Tyler Herro,Kentucky,Miami Heat,$344.9 billion
LeBron James,,Lakers,1000000000.0
Kyle Terrell Lowry,Villanova Wildcats,Philadelphia 76ers,
Kyle Terrell Lowry,Villanova Wildcats,Philadelphia 76ers,
Buddy Hield,,Sacramento Kings,
Cunningham,Oklahoma State,Detroit Pistons,
Kevin Wesley Love,UCLA Bruins,Miami Heat,$344.9 billion
D'Angelo Russell,Ohio State,Los Angeles Lakers,1000000000.0
Cade Parker Cunningham,Oklahoma State,Detroit Pistons,
Giannis Sina Ugo Antetokounmpo,,Milwaukee Bucks,10200000000.0
Harrison Barnes,,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}"
Jalen Brunson,,Mavericks,
Bam Adebayo,,Miami Heat,$344.9 billion
Kobe Bean Bryant,,Los Angeles Lakers,1000000000.0
Jaime Jaquez Jr.,UCLA Bruins,Miami Heat,$344.9 billion
Michael Jordan,North Carolina Tar Heels,Chicago Bulls,689000000000.0
Ausar XLNC Thompson,,Detroit Pistons,
Lonzo Anderson Ball,,Chicago Bulls,689000000000.0
Donald Robert Anielak,,New York Knicks,
Vernon Maxwell,University of Florida,Houston Rockets,
Bennedict Mathurin,,Pacers,29th largest metropolitan economy in the U.S.
Jerry West,,Los Angeles Lakers,1000000000.0
Dwight Howard,,Orlando Magic,
Jameer Nelson,,Orlando Magic,
Drummond,University of Connecticut,Detroit Pistons,
Kevin Knox II,,Knicks,
Cam Reddish,,Knicks,
RJ Barrett,,Knicks,
Michael Porter Jr.,,Denver Nuggets,
Joel Freeland,,Trail Blazers,"fifty percent, more than any other city in the country"
Víctor Claver,,Trail Blazers,"fifty percent, more than any other city in the country"
Scottie Barnes,,Raptors,
Mark Aguirre,,Mavericks,
Rolando Blackman,,Mavericks,
Jay Vincent,,Mavericks,
Mark Price,Georgia Tech,Cleveland Cavaliers,13830000000.0
Don Anielak,,New York Knicks,
