city_name,state_name,team_name,name
Philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George
Philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George
Dallas,Texas,Dallas Mavericks,Kyrie Irving
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama
Miami,Florida,Miami Heat,Kevin Love
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo
Miami,Florida,Miami Heat,Duncan McBryde Robinson
Miami,Florida,Miami Heat,Jimmy Butler
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker
New York,New York,New York Knicks,Jalen Marquis Brunson
San Antonio,Texas,San Antonio Spurs,Chris Paul
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
New York,New York,New York Knicks,Kenneth 'Apple' Green
Los Angeles,California,Los Angeles Lakers,Earvin Johnson
New York,New York,New York Knicks,Kelvin Trent Tucker
Memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens
New York,New York,New York Knicks,Gregory Paul Fillmore
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.
Miami,Florida,Miami Heat,Jaime Jaquez Jr.
San Antonio,Texas,Spurs,Duncan
