name,draft_pick,college,team_name
Paul Clifton Anthony George,10th overall pick of the 2010 NBA draft,Fresno State,Philadelphia 76ers
Paul Clifton Anthony George,10th overall pick of the 2010 NBA draft,Fresno State,Philadelphia 76ers
Kyrie Irving,17,Duke University  ,Dallas Mavericks
Caleb Martin,undrafted player in the 2019 NBA draft,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Caleb Martin,undrafted player in the 2019 NBA draft,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1,University of Kansas,Golden State Warriors
Jaylen Marselles Brown,3,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1,,San Antonio Spurs
Jrue Randall Holiday,17,UCLA Bruins,Boston Celtics
Giannis Antetokounmpo,15,,Milwaukee Bucks
Al Horford,3,University of Florida,Boston Celtics
Kyle Forman Anderson,30,UCLA Bruins,Golden State Warriors
Jimmy Butler,30,Marquette University,Miami Heat
Kevon Looney,30,UCLA Bruins,Golden State Warriors
Zach LaVine,13,UCLA Bruins,Chicago Bulls
Kyle Lowry,24,Villanova Wildcats,Philadelphia 76ers
Kyle Lowry,24,Villanova Wildcats,Philadelphia 76ers
Devin Armani Booker,13,Kentucky Wildcats,Phoenix Suns
Draymond Jamal Green,35,Michigan State Spartans,Golden State Warriors
Jonathan Kuminga,7,,Golden State Warriors
Lonzo Ball,2,UCLA Bruins,Pelicans
Jalen Marquis Brunson,33,Villanova University,New York Knicks
Chris Paul,4,Wake Forest University,San Antonio Spurs
Harrison Bryce Jordan Barnes,7,University of North Carolina at Chapel Hill,San Antonio Spurs
Kenneth 'Apple' Green,21,,New York Knicks
Earvin Johnson,17,,Los Angeles Lakers
Isiah Thomas,2,Indiana University,Detroit Pistons
Kelvin Trent Tucker,6,University of Minnesota,New York Knicks
Timothy Theodore Duncan,1,Wake Forest University,San Antonio Spurs
Rik Smits,2,Marist College,Indiana Pacers
Anthony Edwards,1,University of Georgia,Minnesota Timberwolves
Rod Derline,169,Seattle University,Seattle SuperSonics
Mark Jeffrey Radford,53,Oregon State University,Seattle SuperSonics
Jabari Dominic Walker,57,Colorado Buffaloes,Portland Trail Blazers
Joel Embiid,third overall by the 76ers,,Philadelphia 76ers
Joel Embiid,third overall by the 76ers,,Philadelphia 76ers
Looney,30th overall,,Golden State Warriors
Cade Cunningham,No. 1 pick,,Detroit Pistons
Andrew Wiggins,No. 1 pick,Kansas University,Minnesota Timberwolves
Kyle Anderson,First round pick,UCLA,San Antonio Spurs
Jayson Tatum,No. 3 overall,,Celtics
Tyler Herro,13th overall pick in the 2019 NBA draft,Kentucky,Miami Heat
Horford,"{""value"": ""third overall pick in the 2007 NBA draft"", ""span"": ""On June 28, 2007, Horford was selected by the Atlanta Hawks with the third overall pick in the 2007 NBA draft.""}",University of Florida,Atlanta Hawks
LeBron James,first overall pick of the 2003 NBA draft,,Lakers
Kyle Terrell Lowry,24th overall pick in the 2006 NBA draft,Villanova Wildcats,Philadelphia 76ers
Kyle Terrell Lowry,24th overall pick in the 2006 NBA draft,Villanova Wildcats,Philadelphia 76ers
Buddy Hield,second overall in the 2020 NBA draft,,Sacramento Kings
Cunningham,first overall pick of the 2021 NBA draft by the Detroit Pistons,Oklahoma State,Detroit Pistons
Jrue Holiday,17th overall pick in the 2009 NBA draft,UCLA Bruins,Boston Celtics
Wiggins,number one overall pick in the 2013 NBA draft,,Warriors
Kevin Wesley Love,fifth overall by the Memphis Grizzlies,UCLA Bruins,Miami Heat
D'Angelo Russell,second overall in the 2015 NBA draft by the Lakers,Ohio State,Los Angeles Lakers
Cade Parker Cunningham,NBA first overall pick by the Detroit Pistons in the 2021 NBA draft,Oklahoma State,Detroit Pistons
Giannis Sina Ugo Antetokounmpo,15th overall by the Bucks,,Milwaukee Bucks
Harrison Barnes,the seventh overall pick,,San Antonio Spurs
Dan Anderson,2nd pick of the sixth round of the 1974 NBA draft,,Portland Trail Blazers
Devin Booker,Suns Select Devin Booker In The First Round Of The 2015 NBA Draft,Kentucky,Suns
Jalen Brunson,33rd overall pick,,Mavericks
Bam Adebayo,14th pick,,Miami Heat
Draymond Green,35th overall in the 2012 NBA draft,Michigan State Spartans,Golden State Warriors
Kobe Bean Bryant,13th pick,,Los Angeles Lakers
Jaime Jaquez Jr.,18th overall pick,UCLA Bruins,Miami Heat
Michael Jordan,third overall,North Carolina Tar Heels,Chicago Bulls
Ausar XLNC Thompson,fifth overall by the Pistons in 2023 NBA draft,,Detroit Pistons
Lonzo Anderson Ball,second overall pick of the 2017 NBA draft,,Chicago Bulls
Donald Robert Anielak,3rd round (26th overall) of the 1954 NBA draft,,New York Knicks
Vernon Maxwell,second round of the 1988 NBA draft,University of Florida,Houston Rockets
Darnell Hillman,8th pick overall,San Jose State University,Indiana Pacers
Bennedict Mathurin,sixth overall in the 2022 NBA draft,,Pacers
Jabari Walker,57th overall pick,Colorado,Portland Trail Blazers
Jerry West,number two pick in the 1960 NBA draft,,Los Angeles Lakers
Mark Radford,third round (53rd overall) of the 1981 NBA draft by the Seattle SuperSonics,,Seattle SuperSonics
Jackson-Davis,57th overall by the Golden State Warriors in the second round in the 2023 NBA draft,Indiana,Golden State Warriors
Rick Barry,first round,,Warriors
Dwight Howard,one draft pick,,Orlando Magic
Jameer Nelson,one draft pick,,Orlando Magic
Drummond,"{""value"": ""ninth overall pick in the 2012 NBA draft"", ""span"": ""Drummond was selected by the Detroit Pistons with the ninth overall pick in the 2012 NBA draft.""}",University of Connecticut,Detroit Pistons
Jack Parr,10th round of the 1958 NBA draft,,Cincinnati Royals
Kevin Knox II,eighth overall pick of the 2018 NBA draft,,Knicks
Cam Reddish,10th overall pick of the 2019 NBA draft,,Knicks
RJ Barrett,third overall pick of the 2019 NBA draft,,Knicks
Michael Porter Jr.,14th pick in the 2018 NBA Draft,,Denver Nuggets
Joel Freeland,30th pick from the 2006 draft,,Trail Blazers
Víctor Claver,22nd pick from the 2009 draft,,Trail Blazers
Wes Unseld,number two overall,,Bullets
Scottie Barnes,fourth overall,,Raptors
Mark Aguirre,first pick,,Mavericks
