name,birth_date,team_name,area
Michael Porter Jr.,,Denver Nuggets,"99,025 acres (400.739 km2)"
Nikola Jokić,,Denver Nuggets,"99,025 acres (400.739 km2)"
Joel Freeland,,Trail Blazers,145.09 square miles (375.78 km2)
Víctor Claver,,Trail Blazers,145.09 square miles (375.78 km2)
Lonzo Ball,1997/8/17,Pelicans,350 square miles (910 km2)
Lowry,,Raptors,630 square kilometres (243 sq mi)
Scottie Barnes,,Raptors,630 square kilometres (243 sq mi)
Kawhi Leonard,,Toronto Raptors,630 square kilometres (243 sq mi)
Devin Armani Booker,199601030,Phoenix Suns,"517.9 square miles (1,341 km2)"
Jayson Tatum,"March 22, 1998",Celtics,48.4
Tatum,,Celtics,48.4
Vernon Maxwell,"September 12, 1965",Houston Rockets,"640.4 square miles (1,659 km2)"
Barnes,,Sacramento Kings,100.1 square miles (259 km2)
Buddy Hield,,Sacramento Kings,100.1 square miles (259 km2)
Brunson,,Knicks,300.46
Cam Reddish,,Knicks,300.46
Kevin Knox II,,Knicks,300.46
RJ Barrett,,Knicks,300.46
Randle,,Knicks,300.46
Don Anielak,"November 1, 1930",New York Knicks,300.46
Donald Robert Anielak,"November 1, 1930 – November 19, 1995",New York Knicks,300.46
Gregory Paul Fillmore,1947/3/7,New York Knicks,300.46
Jalen Marquis Brunson,1996/8/31,New York Knicks,300.46
Kelvin Trent Tucker,1959/12/20,New York Knicks,300.46
Kenneth 'Apple' Green,1959/9/19,New York Knicks,300.46
OG Anunoby,,New York Knicks,300.46
Bennedict Mathurin,,Pacers,368 square miles (950 km2)
Chris Paul,1985/5/6,San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Harrison Barnes,"May 30, 1992",San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Harrison Bryce Jordan Barnes,1992/5/30,San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Kyle Anderson,"September 20, 1993",San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Paul,,San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Tim Duncan,,San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Timothy Theodore Duncan,1976/4/25,San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Victor Wembanyama,1997/8/7,San Antonio Spurs,"465.4 square miles (1,205.4 km2)"
Dejounte Murray,,Spurs,"465.4 square miles (1,205.4 km2)"
Duncan,,Spurs,"465.4 square miles (1,205.4 km2)"
Austin Reaves,"May 29, 1998",Lakers,"502.7 square miles (1,302 km2)"
Bryant,,Lakers,"502.7 square miles (1,302 km2)"
George Mikan,,Lakers,"502.7 square miles (1,302 km2)"
LeBron James,"January 20, 1984",Lakers,"502.7 square miles (1,302 km2)"
Anthony Davis,,Los Angeles Lakers,"502.7 square miles (1,302 km2)"
Anthony Marshon Davis Jr.,"March 11, 1993",Los Angeles Lakers,"502.7 square miles (1,302 km2)"
D'Angelo Russell,"February 23, 1996",Los Angeles Lakers,"502.7 square miles (1,302 km2)"
Earvin Johnson,1959/8/14,Los Angeles Lakers,"502.7 square miles (1,302 km2)"
Jerry West,,Los Angeles Lakers,"502.7 square miles (1,302 km2)"
Kobe Bean Bryant,"August 23, 1978",Los Angeles Lakers,"502.7 square miles (1,302 km2)"
Kobe Bryant,,Los Angeles Lakers,"502.7 square miles (1,302 km2)"
LeBron Raymone James Sr.,"December 30, 1984",Los Angeles Lakers,"502.7 square miles (1,302 km2)"
Wilt Chamberlain,,Los Angeles Lakers,"502.7 square miles (1,302 km2)"
Kirilenko,,Jazz,110.4 square miles (286 km2)
Lauri Markkanen,,Jazz,110.4 square miles (286 km2)
Malone,,Jazz,110.4 square miles (286 km2)
