name,team_name,city_name,state_name
Paul Clifton Anthony George,Philadelphia 76ers,Philadelphia,Pennsylvania
Kyrie Irving,Dallas Mavericks,Dallas,
Caleb Martin,Philadelphia 76ers,Philadelphia,Pennsylvania
Max Fiedler,Philadelphia 76ers,Philadelphia,Pennsylvania
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Kevin Love,Miami Heat,Miami,Florida
Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Jimmy Butler,Miami Heat,Miami,Florida
Zach LaVine,Chicago Bulls,Chicago,Illinois
Kyle Lowry,Philadelphia 76ers,Philadelphia,Pennsylvania
Devin Armani Booker,Phoenix Suns,Phoenix,Arizona
Lonzo Ball,Pelicans,New Orleans,Louisiana
Jalen Marquis Brunson,New York Knicks,New York,New York
Chris Paul,San Antonio Spurs,San Antonio,Texas
Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,Texas
Kenneth 'Apple' Green,New York Knicks,New York,New York
Earvin Johnson,Los Angeles Lakers,Los Angeles,California
Isiah Thomas,Detroit Pistons,Detroit,
Kelvin Trent Tucker,New York Knicks,New York,New York
Timothy Theodore Duncan,San Antonio Spurs,San Antonio,Texas
Kurt Vincent Thomas,Miami Heat,Miami,Florida
Lamar Brandon Stevens,Memphis Grizzlies,Memphis,Tennessee
Garry Witts,Washington Bullets,Washington,
Gregory Paul Fillmore,New York Knicks,New York,New York
Joel Embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
Austin Reaves,Lakers,Los Angeles,California
Cade Cunningham,Detroit Pistons,Detroit,
Kyle Anderson,San Antonio Spurs,San Antonio,Texas
Jayson Tatum,Celtics,Boston,Massachusetts
Jaden Ivey,Detroit Pistons,Detroit,
Tyler Herro,Miami Heat,Miami,Florida
LeBron James,Lakers,Los Angeles,California
Duncan Robinson,Miami Heat,Miami,Florida
OG Anunoby,New York Knicks,New York,New York
LeBron Raymone James Sr.,Los Angeles Lakers,Los Angeles,California
Anthony Davis,Los Angeles Lakers,Los Angeles,California
Kyle Terrell Lowry,Philadelphia 76ers,Philadelphia,Pennsylvania
Lowry,Raptors,Toronto,Ontario
Buddy Hield,Sacramento Kings,Sacramento,California
Embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
Cunningham,Detroit Pistons,Detroit,
Anthony Marshon Davis Jr.,Los Angeles Lakers,Los Angeles,California
Kevin Wesley Love,Miami Heat,Miami,Florida
D'Angelo Russell,Los Angeles Lakers,Los Angeles,California
Cade Parker Cunningham,Detroit Pistons,Detroit,
Giannis Sina Ugo Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Antetokounmpo,Bucks,Milwaukee,Wisconsin
Harrison Barnes,San Antonio Spurs,San Antonio,Texas
Brunson,Knicks,New York,New York
Bryant,Lakers,Los Angeles,California
Jalen Brunson,Mavericks,Dallas,
Bam Adebayo,Miami Heat,Miami,Florida
Kobe Bryant,Los Angeles Lakers,Los Angeles,California
Tim Duncan,San Antonio Spurs,San Antonio,Texas
Kobe Bean Bryant,Los Angeles Lakers,Los Angeles,California
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Duncan,Spurs,San Antonio,Texas
Michael Jordan,Chicago Bulls,Chicago,Illinois
Ausar XLNC Thompson,Detroit Pistons,Detroit,
Barnes,Sacramento Kings,Sacramento,California
Lonzo Anderson Ball,Chicago Bulls,Chicago,Illinois
Paul,San Antonio Spurs,San Antonio,Texas
Donald Robert Anielak,New York Knicks,New York,New York
Vernon Maxwell,Houston Rockets,Houston,Texas
Wilt Chamberlain,Los Angeles Lakers,Los Angeles,California
Bennedict Mathurin,Pacers,Indianapolis,
George Mikan,Lakers,Los Angeles,California
Dwyane Wade,Miami Heat,Miami,Florida
Jerry West,Los Angeles Lakers,Los Angeles,California
Dwight Howard,Orlando Magic,Orlando,Florida
Jameer Nelson,Orlando Magic,Orlando,Florida
Drummond,Detroit Pistons,Detroit,
Nowitzki,Mavericks,Dallas,
Nikola Jokić,Denver Nuggets,Denver,Colorado
Luka Dončić,Mavericks,Dallas,
Randle,Knicks,New York,New York
Kevin Knox II,Knicks,New York,New York
Cam Reddish,Knicks,New York,New York
RJ Barrett,Knicks,New York,New York
Elvin Hayes,Washington Bullets,Washington,
Michael Porter Jr.,Denver Nuggets,Denver,Colorado
Kawhi Leonard,Toronto Raptors,Toronto,Ontario
Derrick Rose,Chicago Bulls,Chicago,Illinois
Joel Freeland,Trail Blazers,Portland,Oregon
Víctor Claver,Trail Blazers,Portland,Oregon
Scottie Barnes,Raptors,Toronto,Ontario
Mark Aguirre,Mavericks,Dallas,
Rolando Blackman,Mavericks,Dallas,
Jay Vincent,Mavericks,Dallas,
