name,position,city_name,population
andre jamal drummond,Frontcourt,Philadelphia,1603797
andrew christian wiggins,,San Francisco,808988
caleb martin,Frontcourt,Philadelphia,1603797
"chavano rainer ""buddy"" hield",,San Francisco,808988
drew edward gordon,Frontcourt,Philadelphia,1603797
duncan mcbryde robinson,,Miami,442241
"edrice femi ""bam"" adebayo",,Miami,442241
harrison bryce jordan barnes,,San Antonio,1434625
jaime jaquez,,Miami,442241
kevon grant looney,Frontcourt,San Francisco,808988
kyle forman anderson,,San Francisco,808988
lonzo anderson ball,Backcourt,Chicago,2746388
max berning fiedler,,Philadelphia,1603797
trayce jackson-davis,,San Francisco,808988
tyler christopher herro,Backcourt,Miami,442241
victor wembanyama,Frontcourt,San Antonio,1434625
zach collins,,San Antonio,1434625
zachary thomas lavine,,Chicago,2746388
