university_name,setting,year_founded,file
Elms College,suburban,1928,0946.txt
St. Scholastica,suburban,1912,0951.txt
Auburn University--Montgomery,suburban,1967,0031.txt
Monmouth University,suburban,1933,0291.txt
Southeastern University,suburban,1935,0489.txt
University of South Alabama,suburban,1963,0745.txt
University of Central Arkansas,suburban,1907,0653.txt
Lewis University ,suburban,1932,0214.txt
George Mason University,suburban,1972,0101.txt
Fairleigh Dickinson University,suburban,1942,0072.txt
Harvey Mudd College,suburban,1955,0136.txt
North Carolina Wesleyan College,suburban,1956,0351.txt
Kennesaw State University,suburban,1963,0185.txt
New College of Florida,suburban,2001,0341.txt
Missouri Southern State University,suburban,1937,0285.txt
