university_name,year_founded,setting,file
Elms College,1928,suburban,0946.txt
College of St. Scholastica,1912,suburban,0951.txt
Lewis University,1932,suburban,0214.txt
Fairleigh Dickinson University,1942,suburban,0072.txt
Southeastern University,1935,suburban,0489.txt
Woodbury University,1884,suburban,0894.txt
Chestnut Hill College,1924,suburban,0922.txt
Westmont College,1937,suburban,0842.txt
Harvey Mudd College,1955," The town of claremont is really nice, even though there are a lot of old people.",0136.txt
Kennesaw State University,1963,suburban,0185.txt
Rhode Island College,1854,suburban,0435.txt
Auburn University--Montgomery,1967,suburban,0031.txt
United States Coast Guard Academy,1931,suburban,0632.txt
New College of Florida,2001,suburban,0341.txt
High Point University,1924,suburban,0143.txt
University of South Alabama,1963,suburban,0745.txt
